time,ref,meas,u,target_h,error
13.5,,0.696685910224915,0.696685910224915,1.1499995,0.050000012
13.6,,1.00496625900269,1.00496625900269,1.9399986,0.060000002
13.7,,0.525110840797424,0.525110840797424,1.2399993,0.060000002
13.8,,1.36757338047028,1.36757338047028,1.3299993,0.06999999
13.9,,1.16859102249146,1.16859102249146,1.3299993,0.06999999
14,,0.819346785545349,0.819346785545349,1.4199991,0.07999998
14.1,,0.874381244182587,0.874381244182587,1.4199991,0.07999998
14.2,,1.55262434482574,1.55262434482574,0.71999985,0.07999998
14.3,,0.825587153434753,0.825587153434753,1.5100038,0.09000003
14.4,,0.665899097919464,0.665899097919464,1.5100038,0.09000003
14.5,,1.68072128295898,1.68072128295898,1.5999995,0.100000024
14.6,,1.10033047199249,1.10033047199249,1.5999995,0.100000024
14.7,,0.612176775932312,0.612176775932312,0.9000002,0.100000024
14.8,,1.40876412391663,1.40876412391663,0.9000002,0.100000024
14.9,,0.330289244651794,0.330289244651794,1.6899995,0.110000014
15,,0.841094553470612,0.841094553470612,1.6899995,0.110000014
15.1,,1.32989931106567,1.32989931106567,0.9900001,0.110000014
15.2,,0.49148166179657,0.49148166179657,1.7799994,0.120000005
15.3,,0.278127819299698,0.278127819299698,1.7799994,0.120000005
15.4,,1.25606191158295,1.25606191158295,1.08,0.120000005
15.5,,0.246508121490478,0.246508121490478,1.08,0.120000005
15.6,,0.348183512687683,0.348183512687683,1.08,0.120000005
15.7,,0.643092393875122,0.643092393875122,1.08,0.120000005
15.8,,0.561604380607605,0.561604380607605,1.08,0.120000005
15.9,,0.316601097583771,0.316601097583771,1.08,0.120000005
16,,0.830226540565491,0.830226540565491,1.08,0.120000005
16.1,,0.012870728969574,0.012870728969574,1.08,0.120000005
16.2,,0.666940748691559,0.666940748691559,1.08,0.120000005
16.3,,0.817980647087097,0.817980647087097,1.08,0.120000005
16.4,,0.210614025592804,0.210614025592804,0.2900008,0.110000014
16.5,,0.124027900397778,0.124027900397778,0.2900008,0.110000014
16.6,,1.17151391506195,1.17151391506195,0.9900001,0.110000014
16.7,,0.200120329856873,0.200120329856873,0.9900001,0.110000014
16.8,,0.32273256778717,0.32273256778717,0.9900001,0.110000014
16.9,,0.846860647201538,0.846860647201538,0.9900001,0.110000014
17,,0.891135215759277,0.891135215759277,0.9900001,0.110000014
17.1,,0.715132474899292,0.715132474899292,0.9900001,0.110000014
17.2,,1.26661562919617,1.26661562919617,0.9900001,0.110000014
17.3,,0.470030665397644,0.470030665397644,0.9900001,0.110000014
17.4,,1.13549673557282,1.13549673557282,0.9900001,0.110000014
17.5,,1.29278922080994,1.29278922080994,0.9900001,0.110000014
17.6,,0.688853025436401,0.688853025436401,0.9900001,0.110000014
17.7,,0.604149043560028,0.604149043560028,0.9900001,0.110000014
17.8,,1.65266752243042,1.65266752243042,0.9900001,0.110000014
17.9,,0.681840598583221,0.681840598583221,0.9900001,0.110000014
18,,0.804763674736023,0.804763674736023,0.9900001,0.110000014
18.1,,1.11133027076721,1.11133027076721,0.9900001,0.110000014
18.2,,1.03623831272125,1.03623831272125,0.9900001,0.110000014
18.3,,0.794744253158569,0.794744253158569,0.9900001,0.110000014
18.4,,1.31029510498047,1.31029510498047,0.9900001,0.110000014
18.5,,0.493995666503906,0.493995666503906,0.9900001,0.110000014
18.6,,1.14864528179169,1.14864528179169,0.9900001,0.110000014
18.7,,1.30000329017639,1.30000329017639,0.9900001,0.110000014
18.8,,0.692811071872711,0.692811071872711,1.7799994,0.120000005
18.9,,0.60632061958313,0.60632061958313,1.7799994,0.120000005
19,,1.65385901927948,1.65385901927948,1.08,0.120000005
19.1,,0.682494342327118,0.682494342327118,1.08,0.120000005
19.2,,0.805122375488281,0.805122375488281,1.08,0.120000005
19.3,,1.11152708530426,1.11152708530426,1.08,0.120000005
19.4,,1.0363461971283,1.0363461971283,1.08,0.120000005
19.5,,0.794803500175476,0.794803500175476,1.8699993,0.13
19.6,,1.31032752990723,1.31032752990723,1.8699993,0.13
19.7,,0.494013488292694,0.494013488292694,1.17,0.13
19.8,,1.14865505695343,1.14865505695343,1.17,0.13
19.9,,1.30000853538513,1.30000853538513,1.17,0.13
20,,1.14392566680908,1.14392566680908,1.9599992,0.13999999
20.1,,1.29419326782227,1.29419326782227,1.9599992,0.13999999
20.2,,1.59089958667755,1.59089958667755,1.2599999,0.13999999
20.3,,0.647951245307922,0.647951245307922,1.2599999,0.13999999
20.4,,1.67764735221863,1.67764735221863,1.2599999,0.13999999
20.5,,1.14571046829224,1.14571046829224,1.2599999,0.13999999
20.6,,1.50380229949951,1.50380229949951,1.2599999,0.13999999
20.7,,1.04710865020752,1.04710865020752,1.2599999,0.13999999
20.8,,1.45533490180969,1.45533490180969,2.0500038,0.15000004
20.9,,1.01810610294342,1.01810610294342,2.0500038,0.15000004
21,,1.43620193004608,1.43620193004608,1.3500003,0.15000004
21.1,,1.45777308940887,1.45777308940887,1.3500003,0.15000004
21.2,,1.23048424720764,1.23048424720764,1.3500003,0.15000004
21.3,,1.34168434143066,1.34168434143066,1.3500003,0.15000004
21.4,,1.6169558763504,1.6169558763504,1.3500003,0.15000004
21.5,,1.10678052902222,1.10678052902222,1.3500003,0.15000004
21.6,,1.48485374450684,1.48485374450684,1.3500003,0.15000004
21.7,,1.4844663143158,1.4844663143158,1.3500003,0.15000004
21.8,,1.24512958526611,1.24512958526611,2.1399996,0.16000003
21.9,,1.34971952438355,1.34971952438355,2.1399996,0.16000003
22,,1.62136435508728,1.62136435508728,1.4400002,0.16000003
22.1,,1.1091992855072,1.1091992855072,1.4400002,0.16000003
22.2,,1.48618078231812,1.48618078231812,1.4400002,0.16000003
22.3,,1.48519432544708,1.48519432544708,1.4400002,0.16000003
22.4,,1.24552917480469,1.24552917480469,1.4400002,0.16000003
22.5,,1.34993875026703,1.34993875026703,1.4400002,0.16000003
22.6,,1.62148475646973,1.62148475646973,1.4400002,0.16000003
22.7,,1.10926532745361,1.10926532745361,1.4400002,0.16000003
22.8,,1.48621702194214,1.48621702194214,0.650001,0.15000004
22.9,,1.48521423339844,1.48521423339844,0.650001,0.15000004
23,,1.24554002285004,1.24554002285004,1.3500003,0.15000004
23.1,,1.34994471073151,1.34994471073151,1.3500003,0.15000004
23.2,,1.62148797512054,1.62148797512054,1.3500003,0.15000004
23.3,,1.10926711559296,1.10926711559296,1.3500003,0.15000004
23.4,,1.48621797561646,1.48621797561646,1.3500003,0.15000004
23.5,,1.4852147102356,1.4852147102356,1.3500003,0.15000004
23.6,,1.24554026126862,1.24554026126862,1.3500003,0.15000004
23.7,,1.3499448299408,1.3499448299408,1.3500003,0.15000004
23.8,,1.62148809432983,1.62148809432983,1.3500003,0.15000004
23.9,,1.10926711559296,1.10926711559296,1.3500003,0.15000004
24,,1.48621797561646,1.48621797561646,1.3500003,0.15000004
24.1,,1.4852147102356,1.4852147102356,1.3500003,0.15000004
24.2,,1.24554026126862,1.24554026126862,1.3500003,0.15000004
24.3,,1.3499448299408,1.3499448299408,1.3500003,0.15000004
24.4,,1.62148809432983,1.62148809432983,1.3500003,0.15000004
24.5,,1.10926711559296,1.10926711559296,1.3500003,0.15000004
24.6,,1.48621797561646,1.48621797561646,2.1399996,0.16000003
24.7,,1.4852147102356,1.4852147102356,1.3500003,0.15000004
24.8,,1.24554026126862,1.24554026126862,0.650001,0.15000004
24.9,,1.3499448299408,1.3499448299408,1.3500003,0.15000004
25,,1.62148809432983,1.62148809432983,2.1399996,0.16000003
25.1,,1.10926711559296,1.10926711559296,2.1399996,0.16000003
25.2,,1.48621797561646,1.48621797561646,1.4400002,0.16000003
25.3,,1.4852147102356,1.4852147102356,0.650001,0.15000004
25.4,,1.24554026126862,1.24554026126862,1.4400002,0.16000003
25.5,,1.3499448299408,1.3499448299408,2.1399996,0.16000003
25.6,,1.62148809432983,1.62148809432983,1.4400002,0.16000003
25.7,,1.10926711559296,1.10926711559296,1.4400002,0.16000003
25.8,,1.48621797561646,1.48621797561646,0.650001,0.15000004
25.9,,1.4852147102356,1.4852147102356,1.4400002,0.16000003
26,,1.24554026126862,1.24554026126862,2.1399996,0.16000003
26.1,,1.3499448299408,1.3499448299408,1.4400002,0.16000003
26.2,,1.62148809432983,1.62148809432983,1.4400002,0.16000003
26.3,,1.10926711559296,1.10926711559296,1.4400002,0.16000003
26.4,,1.48621797561646,1.48621797561646,1.4400002,0.16000003
26.5,,3.93783235549927,3.93783235549927,9,0.96000004
26.6,,5.26965713500977,5.26965713500977,9.2,0.96000004
26.7,,5.56637096405029,5.56637096405029,8.64,0.96000004
26.8,,5.71589469909668,5.71589469909668,9.429999,0.97
26.9,,5.81120204925537,5.81120204925537,9.429999,0.97
27,,5.85022306442261,5.85022306442261,8.7300005,0.97
27.1,,5.68066310882568,5.68066310882568,7.940001,0.96000004
