time,ref,meas,u,target_h,error,Target
0.0,,-7.211647033691406,-7.211647033691406,,-2.17,-15.251667
0.1,,-8.882855415344238,-8.882855415344238,,-2.17,-15.251667
0.2,,-8.299223899841309,-8.299223899841309,,-2.17,-15.251667
0.30000000000000004,,-7.08601188659668,-7.08601188659668,,-2.17,-15.251667
0.4,,-8.03337287902832,-8.03337287902832,,-2.17,-15.251667
0.5,,-8.213199615478516,-8.213199615478516,,-2.17,-15.251667
0.6000000000000001,,-6.678609371185303,-6.678609371185303,,-2.16,-15.207778
0.7000000000000001,,-7.686840057373047,-7.686840057373047,,-2.15,-15.163889
0.8,,-7.878213882446289,-7.878213882446289,,-2.13,-15.115
0.9,,-7.187381744384766,-7.187381744384766,,-2.11,-15.066111
1.0,,-7.573128700256348,-7.573128700256348,,-2.08,-15.012221
1.1,,-7.676695823669434,-7.676695823669434,,-2.06,-15.002222
1.2000000000000002,,-6.923999786376953,-6.923999786376953,,-2.03,-14.770003
1.3,,-7.357905387878418,-7.357905387878418,,-1.1999999,-4.78
1.4000000000000001,,-6.64934778213501,-6.64934778213501,,-1.16,-4.350001
1.5,,-6.578456878662109,-6.578456878662109,,-1.1299999,-5.2699957
1.6,,-6.716310501098633,-6.716310501098633,,-1.09,-4.909996
1.7000000000000002,,-7.315978050231934,-7.315978050231934,,-1.0500001,-3.8500054
1.8,,-5.693149566650391,-5.693149566650391,,-1.0099999,-3.4899964
1.9000000000000001,,-5.542980194091797,-5.542980194091797,,-0.96,-2.3399975
2.0,,-5.27443790435791,-5.27443790435791,,-0.92,-1.9800061
2.1,,-5.340791702270508,-5.340791702270508,,-0.87999994,-2.3199964
2.2,,-4.493773460388184,-4.493773460388184,,-0.84999996,-2.749996
2.3000000000000003,,-4.762721061706543,-4.762721061706543,,-0.81,-2.3900046
2.4000000000000004,,-4.470238208770752,-4.470238208770752,,-0.75999993,-0.53999704
2.5,,-4.537197113037109,-4.537197113037109,,-0.71,0.61000186
2.6,,-1.8545781373977661,-1.8545781373977661,,-0.65000004,1.8499923
2.7,,-4.178049564361572,-4.178049564361572,,-0.59999996,2.3000014
2.8000000000000003,,-3.744595527648926,-3.744595527648926,,-0.55,2.0500016
2.9000000000000004,,-1.805119276046753,-1.805119276046753,,-0.50999993,1.710003
3.0,,-0.9573988318443298,-0.9573988318443298,,-0.45999998,2.1600025
3.1,,0.002173781394958496,0.002173781394958496,,-0.42000002,2.5199938
3.2,,-0.8249021768569946,-0.8249021768569946,,-0.36999995,2.970003
3.3000000000000003,,1.1639045476913452,1.1639045476913452,,-0.32999998,3.3300025
3.4000000000000004,,-0.6691099405288696,-0.6691099405288696,,-0.29000002,2.9899945
3.5,,-0.21486768126487732,-0.21486768126487732,,-0.24999994,3.3500035
3.6,,-0.8108689188957214,-0.8108689188957214,,-0.20999998,3.7100031
3.7,,-0.6902660727500916,-0.6902660727500916,,-0.17000002,4.0699944
3.8000000000000003,,0.39081433415412903,0.39081433415412903,,-0.13999999,3.6399996
3.9000000000000004,,0.6115655899047852,0.6115655899047852,,-0.099999964,4.000004
4.0,,1.792595624923706,1.792595624923706,,-0.06999999,4.2699995
4.1000000000000005,,1.2760109901428223,1.2760109901428223,,-0.03999996,3.8400006
4.2,,1.5124897956848145,1.5124897956848145,,0.0,4.8999996
4.3,,1.9977176189422607,1.9977176189422607,,0.02000004,4.3800006
4.4,,2.2096002101898193,2.2096002101898193,,0.050000012,3.950001
4.5,,2.314220666885376,2.314220666885376,,0.06999999,4.129997
