time,ref,meas,u,target_h,error,Target
0.0,,-5.138516426086426,-5.138516426086426,,-2.17,-15.251667
0.1,,-6.620871067047119,-6.620871067047119,,-2.17,-15.251667
0.2,,-8.479107856750488,-8.479107856750488,,-2.17,-15.251667
0.30000000000000004,,-9.07354736328125,-9.07354736328125,,-2.17,-15.251667
0.4,,-9.443649291992188,-9.443649291992188,,-2.17,-15.251667
0.5,,-8.851770401000977,-8.851770401000977,,-2.17,-15.251667
0.6000000000000001,,-8.793179512023926,-8.793179512023926,,-2.16,-15.207778
0.7000000000000001,,-9.236297607421875,-9.236297607421875,,-2.15,-15.163889
0.8,,-9.709228515625,-9.709228515625,,-2.13,-15.115
0.9,,-9.710988998413086,-9.710988998413086,,-2.11,-15.066111
1.0,,-9.773968696594238,-9.773968696594238,,-2.08,-15.012221
1.1,,-9.744537353515625,-9.744537353515625,,-2.06,-15.002222
1.2000000000000002,,-9.97259521484375,-9.97259521484375,,-2.03,-14.770003
1.3,,-9.938587188720703,-9.938587188720703,,-1.1999999,-4.78
1.4000000000000001,,-9.260048866271973,-9.260048866271973,,-1.16,-4.350001
1.5,,-9.972419738769531,-9.972419738769531,,-1.1299999,-5.2699957
1.6,,-9.096339225769043,-9.096339225769043,,-1.09,-4.909996
1.7000000000000002,,-8.695926666259766,-8.695926666259766,,-1.0500001,-3.8500054
1.8,,-8.707230567932129,-8.707230567932129,,-1.0099999,-3.4899964
1.9000000000000001,,-7.508149147033691,-7.508149147033691,,-0.96,-2.3399975
2.0,,-6.159397602081299,-6.159397602081299,,-0.92,-1.9800061
2.1,,-6.8309783935546875,-6.8309783935546875,,-0.87999994,-2.3199964
2.2,,-5.587150573730469,-5.587150573730469,,-0.84999996,-2.749996
2.3000000000000003,,-5.705248832702637,-5.705248832702637,,-0.81,-2.3900046
2.4000000000000004,,-3.6624932289123535,-3.6624932289123535,,-0.75999993,-0.53999704
2.5,,-4.558157920837402,-4.558157920837402,,-0.71,0.61000186
2.6,,-2.8866190910339355,-2.8866190910339355,,-0.65000004,1.8499923
2.7,,-3.5315823554992676,-3.5315823554992676,,-0.59999996,2.3000014
2.8000000000000003,,-2.754345417022705,-2.754345417022705,,-0.55,2.0500016
2.9000000000000004,,-1.2107819318771362,-1.2107819318771362,,-0.50999993,1.710003
3.0,,-1.0575240850448608,-1.0575240850448608,,-0.45999998,2.1600025
3.1,,-1.9263631105422974,-1.9263631105422974,,-0.42000002,2.5199938
3.2,,-0.3052610754966736,-0.3052610754966736,,-0.36999995,2.970003
3.3000000000000003,,0.43195855617523193,0.43195855617523193,,-0.32999998,3.3300025
3.4000000000000004,,-0.2582729458808899,-0.2582729458808899,,-0.29000002,2.9899945
3.5,,0.7983142137527466,0.7983142137527466,,-0.24999994,3.3500035
3.6,,-0.13966938853263855,-0.13966938853263855,,-0.20999998,3.7100031
3.7,,0.4443015456199646,0.4443015456199646,,-0.17000002,4.0699944
3.8000000000000003,,0.8899344801902771,0.8899344801902771,,-0.13999999,3.6399996
3.9000000000000004,,0.9705390930175781,0.9705390930175781,,-0.099999964,4.000004
4.0,,1.2286118268966675,1.2286118268966675,,-0.06999999,4.2699995
4.1000000000000005,,1.4945461750030518,1.4945461750030518,,-0.03999996,3.8400006
4.2,,1.5001497268676758,1.5001497268676758,,0.0,4.8999996
4.3,,2.108354091644287,2.108354091644287,,0.02000004,4.3800006
4.4,,3.047680377960205,3.047680377960205,,0.050000012,3.950001
4.5,,3.041496753692627,3.041496753692627,,0.06999999,4.129997
4.6000000000000005,,3.1233763694763184,3.1233763694763184,,0.09000003,3.6100018
4.7,,3.573660373687744,3.573660373687744,,0.110000014,3.7900016
4.800000000000001,,4.036036491394043,4.036036491394043,,0.120000005,3.179998
4.9,,4.387543678283691,4.387543678283691,,0.13,2.5699985
5.0,,3.5266828536987305,3.5266828536987305,,0.13999999,2.6599987
5.1000000000000005,,3.7955641746520996,3.7955641746520996,,0.13999999,1.9599992
5.2,,2.8943395614624023,2.8943395614624023,,0.15000004,2.0500038
5.300000000000001,,3.2166237831115723,3.2166237831115723,,0.15000004,2.0500038
5.4,,3.164128303527832,3.164128303527832,,0.15000004,1.3500003
5.5,,1.8101015090942383,1.8101015090942383,,0.15000004,1.3500003
5.6000000000000005,,1.601389765739441,1.601389765739441,,0.15000004,1.3500003
5.7,,1.3628110885620117,1.3628110885620117,,0.15000004,1.3500003
5.800000000000001,,2.7713804244995117,2.7713804244995117,,0.15000004,1.3500003
5.9,,1.7878236770629883,1.7878236770629883,,0.120000005,-1.0200021
6.0,,1.0420912504196167,1.0420912504196167,,0.110000014,-1.8100014
6.1000000000000005,,1.2034105062484741,1.2034105062484741,,0.110000014,0.2900008
