# Time (s), Input signal, Derivative, Derivative positive, Derivative negative
4.700000000000000289e-01,5.300451178241514683e+00,6.213354564239992328e-01,6.213354564239992328e-01,0.000000000000000000e+00
4.799999999999999822e-01,5.306661567473921259e+00,6.210389232406576809e-01,6.210389232406576809e-01,0.000000000000000000e+00
4.899999999999999911e-01,5.312868930080462349e+00,6.207362606541089178e-01,6.207362606541089178e-01,0.000000000000000000e+00
5.000000000000000000e-01,5.319073204796972654e+00,6.204274716510305154e-01,6.204274716510305154e-01,0.000000000000000000e+00
5.100000000000000089e-01,5.325274330389767385e+00,6.201125592794731745e-01,6.201125592794731745e-01,0.000000000000000000e+00
5.200000000000000178e-01,5.331472245656240005e+00,6.197915266472620033e-01,6.197915266472620033e-01,0.000000000000000000e+00
5.300000000000000266e-01,5.337666889425467964e+00,6.194643769227958785e-01,6.194643769227958785e-01,0.000000000000000000e+00
5.400000000000000355e-01,5.343858200558819327e+00,6.191311133351362628e-01,6.191311133351362628e-01,0.000000000000000000e+00
5.500000000000000444e-01,5.350046117950552294e+00,6.187917391732966621e-01,6.187917391732966621e-01,0.000000000000000000e+00
5.600000000000000533e-01,5.356230580528420049e+00,6.184462577867755328e-01,6.184462577867755328e-01,0.000000000000000000e+00
5.700000000000000622e-01,5.362411527254274723e+00,6.180946725854674639e-01,6.180946725854674639e-01,0.000000000000000000e+00
5.799999999999999600e-01,5.368588897124666914e+00,6.177369870392190876e-01,6.177369870392190876e-01,0.000000000000000000e+00
5.899999999999999689e-01,5.374762629171449646e+00,6.173732046782731686e-01,6.173732046782731686e-01,0.000000000000000000e+00
5.999999999999999778e-01,5.380932662462379668e+00,6.170033290930021508e-01,6.170033290930021508e-01,0.000000000000000000e+00
6.099999999999999867e-01,5.387098936101720525e+00,6.166273639340857926e-01,6.166273639340857926e-01,0.000000000000000000e+00
6.199999999999999956e-01,5.393261389230840308e+00,6.162453129119782602e-01,6.162453129119782602e-01,0.000000000000000000e+00
6.300000000000000044e-01,5.399419961028813830e+00,6.158571797973522166e-01,6.158571797973522166e-01,0.000000000000000000e+00
6.400000000000000133e-01,5.405574590713024818e+00,6.154629684210988216e-01,6.154629684210988216e-01,0.000000000000000000e+00
6.500000000000000222e-01,5.411725217539762767e+00,6.150626826737948250e-01,6.150626826737948250e-01,0.000000000000000000e+00
