# meas,ref,error,kp,ki,kd,kpd, u
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.849777090913667432e-02,6.387825846340419167e-01,6.102848137249052840e-01,6.102848137249052840e+00,4.577136102936790046e-02,0.000000000000000000e+00,6.102848137249052840e+00,6.148619498278420359e+00
1.285428810523973342e-01,6.387825846340419167e-01,5.102397035816446103e-01,5.102397035816446547e+00,8.403933879799124762e-02,-4.001804405730426950e+00,1.100592630086019597e+00,1.184631968884010789e+00
2.504954551358378745e-01,6.387825846340419167e-01,3.882871294982040422e-01,3.882871294982040311e+00,1.131608735103565577e-01,-4.878102963337622278e+00,-9.952316683555819665e-01,-8.820707948452253255e-01
3.736884655221659468e-01,6.387825846340419167e-01,2.650941191118759699e-01,2.650941191118759477e+00,1.330429324437472638e-01,-4.927720415453122449e+00,-2.276779224334362972e+00,-2.143736291890615764e+00
4.855052572409276346e-01,6.387825846340419167e-01,1.532773273931142821e-01,1.532773273931142821e+00,1.445387319982308350e-01,-4.472671668750467511e+00,-2.939898394819324690e+00,-2.795359662821093938e+00
5.794295965828182293e-01,6.387825846340419167e-01,5.935298805122368737e-02,5.935298805122368737e-01,1.489902061020726143e-01,-3.756973573675623790e+00,-3.163443693163387138e+00,-3.014453487061314441e+00
6.532705453054353795e-01,6.387825846340419167e-01,-1.448796067139346277e-02,-1.448796067139346277e-01,1.479036090517180935e-01,-2.953637948904686006e+00,-3.098517555618620634e+00,-2.950613946566902346e+00
7.076664988137233436e-01,6.387825846340419167e-01,-6.888391417968142694e-02,-6.888391417968142694e-01,1.427373154882419781e-01,-2.175838140331518566e+00,-2.864677282128332614e+00,-2.721939966640090969e+00
7.449041969069500890e-01,6.387825846340419167e-01,-1.061216122729081723e-01,-1.061216122729081723e+00,1.347781945677738735e-01,-1.489507923729069816e+00,-2.550724046458151761e+00,-2.415945851890377583e+00
7.680435807326129183e-01,6.387825846340419167e-01,-1.292609960985710016e-01,-1.292609960985710016e+00,1.250836198603810512e-01,-9.255753530265131701e-01,-2.218185314012223408e+00,-2.093101694151842107e+00
7.803130918680970529e-01,6.387825846340419167e-01,-1.415305072340551362e-01,-1.415305072340551362e+00,1.144688318178269104e-01,-4.907804454193653854e-01,-1.906085517759916748e+00,-1.791616685942089893e+00
7.847275803955000573e-01,6.387825846340419167e-01,-1.459449957614581406e-01,-1.459449957614581406e+00,1.035229571357175610e-01,-1.765795410961201739e-01,-1.636029498710701580e+00,-1.532506541574984116e+00
7.838781477584930713e-01,6.387825846340419167e-01,-1.450955631244511546e-01,-1.450955631244511546e+00,9.264078990138371883e-02,3.397730548027944053e-02,-1.416978325764232105e+00,-1.324337535862848414e+00
7.798464840141973164e-01,6.387825846340419167e-01,-1.410638993801553998e-01,-1.410638993801553998e+00,8.206099744787206940e-02,1.612665497718301921e-01,-1.249372444029723805e+00,-1.167311446581851708e+00
7.742028500554228865e-01,6.387825846340419167e-01,-1.354202654213809698e-01,-1.354202654213809698e+00,7.190447754126849667e-02,2.257453583509771988e-01,-1.128457295862832499e+00,-1.056552818321564002e+00
7.680548321647725496e-01,6.387825846340419167e-01,-1.292722475307306329e-01,-1.292722475307306329e+00,6.220905897646369920e-02,2.459207156260134752e-01,-1.046801759681292854e+00,-9.845927007048291824e-01
7.621220315184137339e-01,6.387825846340419167e-01,-1.233394468843718172e-01,-1.233394468843718172e+00,5.295860046013581290e-02,2.373120258543526262e-01,-9.960824429893655463e-01,-9.431238425292296501e-01
