# meas,ref,error,kp,ki,kd,kpd, u
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.355219596958042436e-02,1.186921191362823036e-01,9.513992316670187577e-02,9.513992316670187854e-01,7.135494237502641723e-03,0.000000000000000000e+00,9.513992316670187854e-01,9.585347259045213786e-01
9.477017706174478695e-02,1.186921191362823036e-01,2.392194207453751664e-02,2.392194207453751664e-01,8.929639893092956859e-03,-2.848719243686574032e+00,-2.609499822941198754e+00,-2.600570183048105832e+00
1.780628941869668025e-01,1.186921191362823036e-01,-5.937077505068449890e-02,-5.937077505068449890e-01,4.476831764291618401e-03,-3.331708685008880622e+00,-3.925416435515725500e+00,-3.920939603751433911e+00
2.602266531382132486e-01,1.186921191362823036e-01,-1.415345340019309450e-01,-1.415345340019309450e+00,-6.138258285853202822e-03,-3.286550358049857845e+00,-4.701895698069167295e+00,-4.708033956355020422e+00
3.333905103894481692e-01,1.186921191362823036e-01,-2.146983912531658656e-01,-2.146983912531658767e+00,-2.224063762984064552e-02,-2.926554290049396823e+00,-5.073538202581055145e+00,-5.095778840210895666e+00
3.936770171021128917e-01,1.186921191362823036e-01,-2.749848979658305881e-01,-2.749848979658305659e+00,-4.286450497727793685e-02,-2.411460268506588900e+00,-5.161309248164894115e+00,-5.204173753142172565e+00
4.400022241468946049e-01,1.186921191362823036e-01,-3.213101050106123013e-01,-3.213101050106122791e+00,-6.696276285307387055e-02,-1.853008281791268530e+00,-5.066109331897391321e+00,-5.133072094750465553e+00
4.730771481077103435e-01,1.186921191362823036e-01,-3.543850289714280399e-01,-3.543850289714280510e+00,-9.354164002593097493e-02,-1.322996958432629544e+00,-4.866847248146910054e+00,-4.960388888172841071e+00
4.946286210503363923e-01,1.186921191362823036e-01,-3.759365019140540887e-01,-3.759365019140540998e+00,-1.217368776694850441e-01,-8.620589177050419494e-01,-4.621423936845582503e+00,-4.743160814515068324e+00
5.068289237113504653e-01,1.186921191362823036e-01,-3.881368045750681617e-01,-3.881368045750681617e+00,-1.508471380126151784e-01,-4.880121064405629205e-01,-4.369380152191244093e+00,-4.520227290203859383e+00
5.119073913338647586e-01,1.186921191362823036e-01,-3.932152721975824550e-01,-3.932152721975824328e+00,-1.803382834274338542e-01,-2.031387049005717316e-01,-4.135291426876396059e+00,-4.315629710303830358e+00
5.119099997168794491e-01,1.186921191362823036e-01,-3.932178805805971455e-01,-3.932178805805971678e+00,-2.098296244709786096e-01,-1.043353205876229595e-04,-3.932283141126559300e+00,-4.142112765597538271e+00
5.085719183074574046e-01,1.186921191362823036e-01,-3.898797991711751010e-01,-3.898797991711751010e+00,-2.390706094088167477e-01,1.335232563768817826e-01,-3.765274735334869227e+00,-4.004345344743685864e+00
5.032708213141372511e-01,1.186921191362823036e-01,-3.845787021778549475e-01,-3.845787021778549253e+00,-2.679140120721558715e-01,2.120438797328061398e-01,-3.633743142045743113e+00,-3.901657154117899040e+00
4.970335906431768702e-01,1.186921191362823036e-01,-3.783414715068945666e-01,-3.783414715068945888e+00,-2.962896224351729835e-01,2.494892268384152345e-01,-3.533925488230530654e+00,-3.830215110665703193e+00
4.905746467290981738e-01,1.186921191362823036e-01,-3.718825275928158702e-01,-3.718825275928158813e+00,-3.241808120046341668e-01,2.583577565631478556e-01,-3.460467519365010958e+00,-3.784648331369644847e+00
4.843496573648617409e-01,1.186921191362823036e-01,-3.656575382285794373e-01,-3.656575382285794262e+00,-3.516051273717776260e-01,2.489995745694573159e-01,-3.407575807716336946e+00,-3.759180935088114239e+00
4.786132965132828820e-01,1.186921191362823036e-01,-3.599211773770005784e-01,-3.599211773770005784e+00,-3.785992156750526139e-01,2.294544340631543555e-01,-3.369757339706851429e+00,-3.748356555381903821e+00
4.734738079714236880e-01,1.186921191362823036e-01,-3.547816888351413844e-01,-3.547816888351413844e+00,-4.052078423376882510e-01,2.055795416743677606e-01,-3.342237346677046084e+00,-3.747445189014734446e+00
4.689403054029558926e-01,1.186921191362823036e-01,-3.502481862666735890e-01,-3.502481862666735779e+00,-4.314764563076888271e-01,1.813401027387118170e-01,-3.321141759928023962e+00,-3.752618216235712900e+00
4.649610585356697134e-01,1.186921191362823036e-01,-3.462689393993874098e-01,-3.462689393993874098e+00,-4.574466267626429161e-01,1.591698746914471663e-01,-3.303519519302426932e+00,-3.760966146065069626e+00
4.614525880712715411e-01,1.186921191362823036e-01,-3.427604689349892375e-01,-3.427604689349892375e+00,-4.831536619327670978e-01,1.403388185759268936e-01,-3.287265870773965482e+00,-3.770419532706732468e+00
4.583203601433447627e-01,1.186921191362823036e-01,-3.396282410070624591e-01,-3.396282410070624813e+00,-5.086257800082968350e-01,1.252891171170711360e-01,-3.270993292953553677e+00,-3.779619072961850623e+00
4.554723793493382078e-01,1.186921191362823036e-01,-3.367802602130559042e-01,-3.367802602130558931e+00,-5.338842995242759626e-01,1.139192317602621962e-01,-3.253883370370296735e+00,-3.787767669894572808e+00
4.528271597199246545e-01,1.186921191362823036e-01,-3.341350405836423509e-01,-3.341350405836423398e+00,-5.589444275680490737e-01,1.058087851765421306e-01,-3.235541620659881268e+00,-3.794486048227930119e+00
4.503175174717705120e-01,1.186921191362823036e-01,-3.316253983354882084e-01,-3.316253983354882084e+00,-5.838163324432106283e-01,1.003856899261656999e-01,-3.215868293428716385e+00,-3.799684625871927235e+00
4.478914668284358358e-01,1.186921191362823036e-01,-3.291993476921535322e-01,-3.291993476921535322e+00,-6.085062835201222597e-01,9.704202573338704951e-02,-3.194951451188148273e+00,-3.803457734708270532e+00
4.455112767015571573e-01,1.186921191362823036e-01,-3.268191575652748537e-01,-3.268191575652748426e+00,-6.330177203375177974e-01,9.520760507514713922e-02,-3.172983970577601287e+00,-3.806001690915119084e+00
4.431515075290660133e-01,1.186921191362823036e-01,-3.244593883927837097e-01,-3.244593883927837208e+00,-6.573521744669765798e-01,9.439076689964576161e-02,-3.150203117028191446e+00,-3.807555291495168248e+00
4.407966233051618943e-01,1.186921191362823036e-01,-3.221045041688795907e-01,-3.221045041688795685e+00,-6.815100122796425852e-01,9.419536895616476002e-02,-3.126849672732630925e+00,-3.808359685012273399e+00
4.384385800946737910e-01,1.186921191362823036e-01,-3.197464609583914874e-01,-3.197464609583914985e+00,-7.054909968515219454e-01,9.432172841952413123e-02,-3.103142881164390854e+00,-3.808633878015912799e+00
4.360746359675652939e-01,1.186921191362823036e-01,-3.173825168312829903e-01,-3.173825168312829792e+00,-7.292946856138681211e-01,9.455776508433988425e-02,-3.079267403228489908e+00,-3.808562088842358140e+00
4.337055088155719051e-01,1.186921191362823036e-01,-3.150133896792896016e-01,-3.150133896792896238e+00,-7.529206898398148606e-01,9.476508607973554987e-02,-3.055368810713160688e+00,-3.808289500552975770e+00
4.313339245215874751e-01,1.186921191362823036e-01,-3.126418053853051715e-01,-3.126418053853051937e+00,-7.763688252437128678e-01,9.486337175937720190e-02,-3.031554682093674735e+00,-3.807923507337387825e+00
