# meas,ref,error,kp,ki,kd,kpd, u
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.283380977004549811e-02,7.871820251062138230e-01,8.200158348762592864e-01,8.200158348762592198e+00,6.150118761571944648e-02,0.000000000000000000e+00,8.200158348762592198e+00,8.261659536378312296e+00
1.177927637087336499e-04,7.871820251062138230e-01,7.870642323425051101e-01,7.870642323425051323e+00,1.205310050414073464e-01,-1.318064101350167050e+00,6.552578222074884273e+00,6.673109227116291287e+00
8.296930450864248296e-02,7.871820251062138230e-01,7.042127205975713400e-01,7.042127205975713622e+00,1.733469590862251886e-01,-3.314060469797350805e+00,3.728066736178362817e+00,3.901413695264587922e+00
1.880037701462387301e-01,7.871820251062138230e-01,5.991782549599751206e-01,5.991782549599751206e+00,2.182853282082233282e-01,-4.201378625503848774e+00,1.790403924095902433e+00,2.008689252304125539e+00
2.962939452468928425e-01,7.871820251062138230e-01,4.908880798593209804e-01,4.908880798593210137e+00,2.551019341976724086e-01,-4.331607004026165164e+00,5.772737945670449733e-01,8.323757287647177705e-01
3.960766945752107193e-01,7.871820251062138230e-01,3.911053305310031036e-01,3.911053305310030925e+00,2.844348339874976372e-01,-3.991309973132715072e+00,-8.025666782268414678e-02,2.041781661648132129e-01
4.810700425051933626e-01,7.871820251062138230e-01,3.061119826010204603e-01,3.061119826010204825e+00,3.073932326825741801e-01,-3.399733917199305733e+00,-3.386140911891009075e-01,-3.122085850652656092e-02
5.489199987901273170e-01,7.871820251062138230e-01,2.382620263160865060e-01,2.382620263160864837e+00,3.252628846562806708e-01,-2.713998251397358175e+00,-3.313779882364933371e-01,-6.115103580212721823e-03
5.998776209792757719e-01,7.871820251062138230e-01,1.873044041269380511e-01,1.873044041269380511e+00,3.393107149658010080e-01,-2.038304887565938195e+00,-1.652608462965576841e-01,1.740498686692433239e-01
6.357445587951332522e-01,7.871820251062138230e-01,1.514374663110805708e-01,1.514374663110805708e+00,3.506685249391320869e-01,-1.434677512634299212e+00,7.969715047650649531e-02,4.303656754156386377e-01
6.590839703051637466e-01,7.871820251062138230e-01,1.280980548010500764e-01,1.280980548010500764e+00,3.602758790492108232e-01,-9.335764604012197765e-01,3.474040876092809871e-01,7.076799666584918658e-01
6.726689984217957274e-01,7.871820251062138230e-01,1.145130266844180955e-01,1.145130266844180955e+00,3.688643560505421859e-01,-5.434011246652792337e-01,6.017291421789017214e-01,9.705934982294439628e-01
6.791287784607387135e-01,7.871820251062138230e-01,1.080532466454751095e-01,1.080532466454751095e+00,3.769683495489528635e-01,-2.583912015577194410e-01,8.221412648970316539e-01,1.199109614445984517e+00
6.807484715841581879e-01,7.871820251062138230e-01,1.064335535220556350e-01,1.064335535220556350e+00,3.849508660631069668e-01,-6.478772493677897870e-02,9.995478102837773715e-01,1.384498676346884283e+00
6.793819684110631307e-01,7.871820251062138230e-01,1.078000566951506922e-01,1.078000566951506922e+00,3.930358703152432853e-01,5.466012692380228799e-02,1.132660693875309210e+00,1.525696564190552440e+00
6.764412478198901235e-01,7.871820251062138230e-01,1.107407772863236994e-01,1.107407772863236994e+00,4.013414286117175100e-01,1.176288236469202886e-01,1.225036596510157283e+00,1.626378025121874682e+00
6.729331244199524553e-01,7.871820251062138230e-01,1.142489006862613676e-01,1.142489006862613676e+00,4.099100961631871320e-01,1.403249359975067279e-01,1.282813942860120404e+00,1.692724039023307592e+00
6.695210583502645418e-01,7.871820251062138230e-01,1.176609667559492811e-01,1.176609667559492811e+00,4.187346686698832920e-01,1.364826427875165393e-01,1.313092310347009350e+00,1.731826979016892754e+00
6.665960790107621214e-01,7.871820251062138230e-01,1.205859460954517015e-01,1.205859460954517015e+00,4.277786146270421974e-01,1.169991735800968158e-01,1.322858634534613831e+00,1.750637249161655973e+00
6.643462891028928397e-01,7.871820251062138230e-01,1.228357360033209833e-01,1.228357360033209833e+00,4.369912948272912656e-01,8.999159631477127164e-02,1.318348956347981105e+00,1.755340251175272481e+00
6.628187186467928704e-01,7.871820251062138230e-01,1.243633064594209525e-01,1.243633064594209525e+00,4.463185428117477649e-01,6.110281824399876882e-02,1.304735882838208294e+00,1.751054425649956059e+00
6.619705093872091384e-01,7.871820251062138230e-01,1.252115157190046846e-01,1.252115157190046846e+00,4.557094064906731523e-01,3.392837038334928224e-02,1.286043527573396128e+00,1.741752934064069169e+00
6.617086464082826414e-01,7.871820251062138230e-01,1.254733786979311816e-01,1.254733786979311816e+00,4.651199098930179909e-01,1.047451915705988057e-02,1.265208306136371696e+00,1.730328216029389576e+00
6.619188825296666856e-01,7.871820251062138230e-01,1.252631425765471374e-01,1.252631425765471374e+00,4.745146455862589985e-01,-8.409444855361769555e-03,1.244221980910109604e+00,1.718736626496368602e+00
6.624853018560309392e-01,7.871820251062138230e-01,1.246967232501828837e-01,1.246967232501828837e+00,4.838668998300227342e-01,-2.265677305457014512e-02,1.224310459447258692e+00,1.708177359277281315e+00
6.633023117151846115e-01,7.871820251062138230e-01,1.238797133910292114e-01,1.238797133910292114e+00,4.931578783343499861e-01,-3.268039436614689208e-02,1.206116739544145222e+00,1.699274617878495208e+00
6.642808846931398392e-01,7.871820251062138230e-01,1.229011404130739837e-01,1.229011404130739837e+00,5.023754638653304960e-01,-3.914291911820910741e-02,1.189868485012530730e+00,1.692243948877861115e+00
6.653507140998903280e-01,7.871820251062138230e-01,1.218313110063234950e-01,1.218313110063234950e+00,5.115128121908047998e-01,-4.279317627001955060e-02,1.175519933793215399e+00,1.687032745984020199e+00
6.664596879064975665e-01,7.871820251062138230e-01,1.207223371997162564e-01,1.207223371997162564e+00,5.205669874807834496e-01,-4.435895226428954174e-02,1.162864419732873023e+00,1.683431407213656472e+00
6.675717927252580175e-01,7.871820251062138230e-01,1.196102323809558055e-01,1.196102323809558055e+00,5.295377549093551739e-01,-4.448419275041803900e-02,1.151618131059140016e+00,1.681155885968495189e+00
