# meas,ref,error,kp,ki,kd,kpd, u
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.402345741367771514e-02,3.557361049865712666e-01,3.797595624002489956e-01,3.797595624002489956e+00,2.848196718001867744e-02,0.000000000000000000e+00,3.797595624002489956e+00,3.826077591182508453e+00
-4.427191581029446543e-02,3.557361049865712666e-01,4.000080207968657042e-01,4.000080207968657042e+00,5.848256873978360804e-02,8.099383358646683462e-01,4.810018543833325388e+00,4.868501112573109246e+00
-5.032113997594424293e-02,3.557361049865712666e-01,4.060572449625154956e-01,4.060572449625155400e+00,8.893686211197227021e-02,2.419689666259916550e-01,4.302541416251147055e+00,4.391478278363119436e+00
-4.694135825272695295e-02,3.557361049865712666e-01,4.026774632392982056e-01,4.026774632392982056e+00,1.191376718549196218e-01,-1.351912689286915992e-01,3.891583363464290457e+00,4.010721035319209982e+00
-3.794014307108167783e-02,3.557361049865712666e-01,3.936762480576529444e-01,3.936762480576529555e+00,1.486633904592435940e-01,-3.600486072658104497e-01,3.576713873310719105e+00,3.725377263769962699e+00
-2.617093214650090260e-02,3.557361049865712666e-01,3.819070371330721692e-01,3.819070371330721692e+00,1.773064182442239956e-01,-4.707684369832310090e-01,3.348301934347490683e+00,3.525608352591714567e+00
-1.363141459076710159e-02,3.557361049865712666e-01,3.693675195773383768e-01,3.693675195773383990e+00,2.050089822125243932e-01,-5.015807022293516937e-01,3.192094493544032296e+00,3.397103475756556801e+00
-1.606639172231853763e-03,3.557361049865712666e-01,3.573427441588031273e-01,3.573427441588031162e+00,2.318096880244346347e-01,-4.809910167414099824e-01,3.092436424846621179e+00,3.324246112871055647e+00
9.174820480249827950e-03,3.557361049865712666e-01,3.465612845063214542e-01,3.465612845063214653e+00,2.578017843624087480e-01,-4.312583860992669216e-01,3.034354458963947732e+00,3.292156243326356702e+00
1.839206567123095534e-02,3.557361049865712666e-01,3.373440393153402939e-01,3.373440393153402717e+00,2.831025873110593061e-01,-3.686898076392464141e-01,3.004750585514156302e+00,3.287853172825215609e+00
2.600206569570011686e-02,3.557361049865712666e-01,3.297340392908711393e-01,3.297340392908711504e+00,3.078326402578746013e-01,-3.044000009787661831e-01,2.992940391929945321e+00,3.300773032187819922e+00
3.213401914728335196e-02,3.557361049865712666e-01,3.236020858392879007e-01,3.236020858392878896e+00,3.321027966958212119e-01,-2.452781380633295427e-01,2.990742720329549353e+00,3.322845517025370565e+00
3.700865087435617484e-02,3.557361049865712666e-01,3.187274541122150917e-01,3.187274541122151028e+00,3.560073557542373091e-01,-1.949852690829123603e-01,2.992289272039238668e+00,3.348296627793475810e+00
4.088047198459963255e-02,3.557361049865712666e-01,3.148556330019716132e-01,3.148556330019716132e+00,3.796215282293851634e-01,-1.548728444097391410e-01,2.993683485609976991e+00,3.373305013839362321e+00
4.399956633847259407e-02,3.557361049865712666e-01,3.117365386480986933e-01,3.117365386480987155e+00,4.030017686279925293e-01,-1.247637741549167956e-01,2.992601612326070359e+00,3.395603380954062889e+00
4.658891760712206148e-02,3.557361049865712666e-01,3.091471873794491843e-01,3.091471873794491732e+00,4.261878076814512584e-01,-1.035740507459803617e-01,2.987897823048511370e+00,3.414085630729962517e+00
4.883334828830702967e-02,3.557361049865712666e-01,3.069027566982642230e-01,3.069027566982642341e+00,4.492055144338210626e-01,-8.977722724739845006e-02,2.979250339735243891e+00,3.428455854169064843e+00
5.087656061641852856e-02,3.557361049865712666e-01,3.048595443701527241e-01,3.048595443701527241e+00,4.720699802615825336e-01,-8.172849312445995551e-02,2.966866950577067286e+00,3.438936930838649708e+00
5.282336535815240069e-02,3.557361049865712666e-01,3.029127396284188589e-01,3.029127396284188478e+00,4.947884357337140049e-01,-7.787218966935460784e-02,2.951255206614833870e+00,3.446043642348547653e+00
5.474482962860762608e-02,3.557361049865712666e-01,3.009912753579636613e-01,3.009912753579636835e+00,5.173627813855612434e-01,-7.685857081820790526e-02,2.933054182761428930e+00,3.450416964146989951e+00
5.668468664576863103e-02,3.557361049865712666e-01,2.990514183408026216e-01,2.990514183408026216e+00,5.397916377611213790e-01,-7.759428068644158571e-02,2.912919902721584631e+00,3.452711540482706010e+00
