# meas,ref,error,kp,ki,kd,kpd, u
4.619589007909848943e-01,4.550418302731133458e-01,-6.917070517871548585e-03,-6.917070517871548585e-02,1.810504016681585560e-01,1.270584615031755682e-01,5.788775632446008235e-02,2.389381579926186383e-01
4.587881105954935701e-01,4.550418302731133458e-01,-3.746280322380224348e-03,-3.746280322380224348e-02,1.807694306439800447e-01,1.268316078196529695e-01,8.936880459585072600e-02,2.701382352398307707e-01
4.559349925145624316e-01,4.550418302731133458e-01,-8.931622414490858475e-04,-8.931622414490858475e-03,1.807024434758713605e-01,1.141247232372455400e-01,1.051931008227546815e-01,2.858955442986260698e-01
4.535571196387794268e-01,4.550418302731133458e-01,1.484710634333918922e-03,1.484710634333918922e-02,1.808137967734463891e-01,9.511491503132019076e-02,1.099620213746593800e-01,2.907758181481057691e-01
4.517032947066393356e-01,4.550418302731133458e-01,3.338535566474010174e-03,3.338535566474010174e-02,1.810641869409319593e-01,7.415299728560365011e-02,1.075383529503437519e-01,2.886025398912757112e-01
4.503517849355738734e-01,4.550418302731133458e-01,4.690045337539472392e-03,4.690045337539472392e-02,1.814159403412474170e-01,5.406039084261848870e-02,1.009608442180132126e-01,2.823767845592606296e-01
4.494403327722628627e-01,4.550418302731133458e-01,5.601497500850483036e-03,5.601497500850483036e-02,1.818360526538111976e-01,3.645808653244042574e-02,9.247306154094525610e-02,2.743091141947564537e-01
4.488882615130612708e-01,4.550418302731133458e-01,6.153568760052074982e-03,6.153568760052074982e-02,1.822975703108151158e-01,2.208285036806367785e-02,8.361853796858442767e-02,2.659161082793995434e-01
4.486116410988155723e-01,4.550418302731133458e-01,6.430189174297773480e-03,6.430189174297773480e-02,1.827798344988874335e-01,1.106481656982793993e-02,7.536670831280567473e-02,2.581465428116931360e-01
4.485327758748486882e-01,4.550418302731133458e-01,6.509054398264657593e-03,6.509054398264657593e-02,1.832680135787572717e-01,3.154608958675364505e-03,6.824515294132194043e-02,2.515131665200792122e-01
4.485853320782444698e-01,4.550418302731133458e-01,6.456498194868875995e-03,6.456498194868875995e-02,1.837522509433724416e-01,-2.102248135831263909e-03,6.246273381285749604e-02,2.462149847562299376e-01
4.487163278913643971e-01,4.550418302731133458e-01,6.325502381748948633e-03,6.325502381748948633e-02,1.842266636220036280e-01,-5.239832524797094493e-03,5.801519129269239183e-02,2.422418549146960198e-01
4.488860320157931350e-01,4.550418302731133458e-01,6.155798257320210798e-03,6.155798257320210798e-02,1.846883484913026396e-01,-6.788164977149513390e-03,5.476981759605259459e-02,2.394581660873552342e-01
4.490666075632573362e-01,4.550418302731133458e-01,5.975222709856009562e-03,5.975222709856009562e-02,1.851364901945418417e-01,-7.223021898568049437e-03,5.252920519999204618e-02,2.376656953945338879e-01
4.492401298268287047e-01,4.550418302731133458e-01,5.801700446284641099e-03,5.801700446284641099e-02,1.855716177280131718e-01,-6.940890542854738499e-03,5.107611391999167250e-02,2.366477316480048443e-01
4.493964191690419940e-01,4.550418302731133458e-01,5.645411104071351716e-03,5.645411104071351716e-02,1.859950235608185398e-01,-6.251573688531575357e-03,5.020253735218194180e-02,2.361975609130004816e-01
4.495309738825472023e-01,4.550418302731133458e-01,5.510856390566143403e-03,5.510856390566143403e-02,1.864083377901110117e-01,-5.382188540208332483e-03,4.972637536545310155e-02,2.361347131555641132e-01
4.496431654897699026e-01,4.550418302731133458e-01,5.398664783343443130e-03,5.398664783343443130e-02,1.868132376488617630e-01,-4.487664288908010946e-03,4.949898354452642035e-02,2.363122211933881833e-01
4.497347690710883361e-01,4.550418302731133458e-01,5.307061202025009639e-03,5.307061202025009639e-02,1.872112672390136290e-01,-3.664143252737339651e-03,4.940646876751275673e-02,2.366177360065263857e-01
4.498088397746339284e-01,4.550418302731133458e-01,5.232990498479417329e-03,5.232990498479417329e-02,1.876037415263996089e-01,-2.962828141823692363e-03,4.936707684297048093e-02,2.369708183693700898e-01
4.498689084240350966e-01,4.550418302731133458e-01,5.172921849078249146e-03,5.172921849078249146e-02,1.879917106650804692e-01,-2.402745976046727350e-03,4.932647251473576411e-02,2.373181831798162333e-01
4.499184486673962757e-01,4.550418302731133458e-01,5.123381605717070020e-03,5.123381605717070020e-02,1.883759642855092620e-01,-1.981609734447165039e-03,4.925220632272353516e-02,2.376281706082327971e-01
4.499605603790016728e-01,4.550418302731133458e-01,5.081269894111672958e-03,5.081269894111672958e-02,1.887570595275676333e-01,-1.684468464215882477e-03,4.912823047690084710e-02,2.378852900044684804e-01
4.499978147528135852e-01,4.550418302731133458e-01,5.044015520299760524e-03,5.044015520299760524e-02,1.891353606915900931e-01,-1.490174952476497339e-03,4.894998025052110791e-02,2.380853409421112010e-01
4.500322122982085005e-01,4.550418302731133458e-01,5.009617974904845283e-03,5.009617974904845283e-02,1.895110820397079565e-01,-1.375901815796609640e-03,4.872027793325184319e-02,2.382313599729597997e-01
4.500652132054948629e-01,4.550418302731133458e-01,4.976617067618482881e-03,4.976617067618482881e-02,1.898843283197793608e-01,-1.320036291454496080e-03,4.844613438473033273e-02,2.383304627045096935e-01
4.500978085019882169e-01,4.550418302731133458e-01,4.944021771125128861e-03,4.944021771125128861e-02,1.902551299526137329e-01,-1.303811859734160805e-03,4.813640585151712781e-02,2.383915358041308608e-01
4.501306089186847270e-01,4.550418302731133458e-01,4.911221354428618735e-03,4.911221354428618735e-02,1.906234715541959002e-01,-1.312016667860405050e-03,4.780019687642578230e-02,2.384236684306216825e-01
4.501639357818493226e-01,4.550418302731133458e-01,4.877894491264023191e-03,4.877894491264023191e-02,1.909893136410407144e-01,-1.333074526583821751e-03,4.744587038605641016e-02,2.384351840270971246e-01
4.501979042474467674e-01,4.550418302731133458e-01,4.843926025666578372e-03,4.843926025666578372e-02,1.913526080929657258e-01,-1.358738623897792763e-03,4.708052163276799096e-02,2.384331297257337168e-01
4.502324937724634379e-01,4.550418302731133458e-01,4.809336500649907808e-03,4.809336500649907808e-02,1.917133083305144758e-01,-1.383581000666822547e-03,4.670978400583225554e-02,2.384230923363467314e-01
