# timestep = 0.01, sim time = 100, new_ref_freq = 3, minimal_height_change = 4
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.094092220693992923e-01,6.094092220693992923e-01,1.828227666208197988e+00,0.000000000000000000e+00,1.828227666208197988e+00
1.828227666208197960e-04,6.094092220693992923e-01,6.092263993027784430e-01,1.827679197908335329e+00,-5.484682998625478589e-02,1.772832367922080543e+00
5.429287700338476970e-04,6.094092220693992923e-01,6.088662932993654797e-01,1.826598879898096328e+00,-1.080318010238889848e-01,1.718567078874207343e+00
1.074891481334296333e-03,6.094092220693992923e-01,6.083343305880649643e-01,1.825002991764194782e+00,-1.595888133901546269e-01,1.665414178374040155e+00
1.773395610472149053e-03,6.094092220693992923e-01,6.076358264589271085e-01,1.822907479376781215e+00,-2.095512387413567268e-01,1.613356240635424488e+00
2.633235363673544233e-03,6.094092220693992923e-01,6.067759867057257450e-01,1.820327960117177124e+00,-2.579519259604090564e-01,1.562376034156768068e+00
3.649312720290616256e-03,6.094092220693992923e-01,6.057599093491087272e-01,1.817279728047326071e+00,-3.048232069851053438e-01,1.512456521062220727e+00
4.816635729013909670e-03,6.094092220693992923e-01,6.045925863403853739e-01,1.813777759021156122e+00,-3.501969026170059784e-01,1.463580856404150143e+00
6.130316823377618927e-03,6.094092220693992923e-01,6.032789052460216794e-01,1.809836715738065038e+00,-3.941043283091083538e-01,1.415732387428956685e+00
7.585571156484223303e-03,6.094092220693992923e-01,6.018236509129151202e-01,1.805470952738745360e+00,-4.365762999319677817e-01,1.368894652806777579e+00
9.177714954871504793e-03,6.094092220693992923e-01,6.002315071145277736e-01,1.800694521343583432e+00,-4.776431395162039628e-01,1.323051381827379469e+00
1.090216389144152420e-02,6.094092220693992923e-01,5.985070581779577958e-01,1.795521174533873499e+00,-5.173346809709933325e-01,1.278186493562880166e+00
1.275443147736783286e-02,6.094092220693992923e-01,5.966547905920314143e-01,1.789964371776094243e+00,-5.556802757779144564e-01,1.234284095998179787e+00
1.473012747289395921e-02,6.094092220693992923e-01,5.946790945965053643e-01,1.784037283789515982e+00,-5.927087986578150058e-01,1.191328485131700976e+00
1.682495631693325597e-02,6.094092220693992923e-01,5.925842657524660329e-01,1.777752797257398099e+00,-6.284486532117994351e-01,1.149304144045598663e+00
1.903471557537711120e-02,6.094092220693992923e-01,5.903745064940222331e-01,1.771123519482066699e+00,-6.629277775331399170e-01,1.108195741948926782e+00
2.135529440801586104e-02,6.094092220693992923e-01,5.880539276613834243e-01,1.764161782984150273e+00,-6.961736497916426458e-01,1.067988133192507627e+00
2.378267205397386133e-02,6.094092220693992923e-01,5.856265500154254067e-01,1.756879650046276220e+00,-7.282132937874052914e-01,1.028666356258870929e+00
2.631291633555774695e-02,6.094092220693992923e-01,5.830963057338415245e-01,1.749288917201524463e+00,-7.590732844751646446e-01,9.902156327263598179e-01
2.894218218041427065e-02,6.094092220693992923e-01,5.804670398889850702e-01,1.741401119666955211e+00,-7.887797534569362945e-01,9.526213662100189161e-01
3.166671016189179233e-02,6.094092220693992923e-01,5.777425119075074722e-01,1.733227535722522417e+00,-8.173583944432794013e-01,9.158691412792430153e-01
3.448282505749723781e-02,6.094092220693992923e-01,5.749263970119020684e-01,1.724779191035706205e+00,-8.448344686816211535e-01,8.799447223540850516e-01
3.738693442533809475e-02,6.094092220693992923e-01,5.720222876440611559e-01,1.716066862932183579e+00,-8.712328103522737344e-01,8.448340525799098444e-01
4.037552719843694182e-02,6.094092220693992923e-01,5.690336948709623366e-01,1.707101084612887121e+00,-8.965778319296457965e-01,8.105232526832413242e-01
4.344517229680411319e-02,6.094092220693992923e-01,5.659640497725951791e-01,1.697892149317785648e+00,-9.208935295101472462e-01,7.769986198076384021e-01
4.659251725715204961e-02,6.094092220693992923e-01,5.628167048122472149e-01,1.688450114436741645e+00,-9.442034881043892547e-01,7.442466263323523901e-01
4.981428688013322253e-02,6.094092220693992923e-01,5.595949351892660628e-01,1.678784805567798077e+00,-9.665308868943456311e-01,7.122539186734524463e-01
5.310728189498174073e-02,6.094092220693992923e-01,5.563019401744175862e-01,1.668905820523252759e+00,-9.878985044545429695e-01,6.810073160687097893e-01
5.646837764143712579e-02,6.094092220693992923e-01,5.529408444279622081e-01,1.658822533283886624e+00,-1.008328723936613436e+00,6.504938093472731886e-01
5.989452276882724358e-02,6.094092220693992923e-01,5.495146993005720626e-01,1.648544097901716299e+00,-1.027843538217043662e+00,6.207005596846726370e-01
6.338273795218582474e-02,6.094092220693992923e-01,5.460264841172134398e-01,1.638079452351640430e+00,-1.046464555007586839e+00,5.916148973440535919e-01
6.693011462527881372e-02,6.094092220693992923e-01,5.424791074441204231e-01,1.627437322332361269e+00,-1.064213001927905022e+00,5.632243204044562468e-01
7.053381373041224534e-02,6.094092220693992923e-01,5.388754083389870608e-01,1.616626225016961182e+00,-1.081109731540008667e+00,5.355164934769525154e-01
7.419106448489337646e-02,6.094092220693992923e-01,5.352181575845058603e-01,1.605654472753517581e+00,-1.097175226344360155e+00,5.084792464091574260e-01
7.789916316401541974e-02,6.094092220693992923e-01,5.315100589053838309e-01,1.594530176716151493e+00,-1.112429603736608819e+00,4.821005729795426742e-01
8.165547190043541403e-02,6.094092220693992923e-01,5.277537501689638644e-01,1.583261250506891482e+00,-1.126892620925989963e+00,4.563686295809015192e-01
