# Time (s), Input signal, Derivative, Derivative positive, Derivative negative
8.600000000000000699e-02,1.382124691730220005e-02,1.570209621219167684e-01,1.570209621219167684e-01,0.000000000000000000e+00
8.799999999999999489e-02,1.413528338513663635e-02,1.570182339172181418e-01,1.570182339172181418e-01,0.000000000000000000e+00
8.999999999999999667e-02,1.444931427258505131e-02,1.570154437242074763e-01,1.570154437242074763e-01,0.000000000000000000e+00
9.199999999999999845e-02,1.476333945567302568e-02,1.570125915439871678e-01,1.570125915439871678e-01,0.000000000000000000e+00
9.400000000000000022e-02,1.507735881042838837e-02,1.570096773776813448e-01,1.570096773776813448e-01,0.000000000000000000e+00
9.600000000000000200e-02,1.539137221288127202e-02,1.570067012264418360e-01,1.570067012264418360e-01,0.000000000000000000e+00
9.800000000000000377e-02,1.570537953906415637e-02,1.570036630914421749e-01,1.570036630914421749e-01,0.000000000000000000e+00
1.000000000000000056e-01,1.601938066501192720e-02,1.570005629738853992e-01,1.570005629738853992e-01,0.000000000000000000e+00
1.020000000000000073e-01,1.633337546676190757e-02,1.569974008749901728e-01,1.569974008749901728e-01,0.000000000000000000e+00
1.040000000000000091e-01,1.664736382035392551e-02,1.569941767960089662e-01,1.569941767960089662e-01,0.000000000000000000e+00
1.059999999999999970e-01,1.696134560183034865e-02,1.569908907382115693e-01,1.569908907382115693e-01,0.000000000000000000e+00
1.079999999999999988e-01,1.727532068723615019e-02,1.569875427029007731e-01,1.569875427029007731e-01,0.000000000000000000e+00
1.100000000000000006e-01,1.758928895261892625e-02,1.569841326913880286e-01,1.569841326913880286e-01,0.000000000000000000e+00
1.120000000000000023e-01,1.790325027402898603e-02,1.569806607050298897e-01,1.569806607050298897e-01,0.000000000000000000e+00
1.140000000000000041e-01,1.821720452751936919e-02,1.569771267451915697e-01,1.569771267451915697e-01,0.000000000000000000e+00
1.160000000000000059e-01,1.853115158914591179e-02,1.569735308132712837e-01,1.569735308132712837e-01,0.000000000000000000e+00
1.180000000000000077e-01,1.884509133496728439e-02,1.569698729106862867e-01,1.569698729106862867e-01,0.000000000000000000e+00
1.199999999999999956e-01,1.915902364104504416e-02,1.569661530388798687e-01,1.569661530388798687e-01,0.000000000000000000e+00
1.219999999999999973e-01,1.947294838344369033e-02,1.569623711993230752e-01,1.569623711993230752e-01,0.000000000000000000e+00
1.239999999999999991e-01,1.978686543823070937e-02,1.569585273935095171e-01,1.569585273935095171e-01,0.000000000000000000e+00
1.260000000000000009e-01,2.010077468147661306e-02,1.569546216229518454e-01,1.569546216229518454e-01,0.000000000000000000e+00
1.280000000000000027e-01,2.041467598925501142e-02,1.569506538891991820e-01,1.569506538891991820e-01,0.000000000000000000e+00
1.300000000000000044e-01,2.072856923764263351e-02,1.569466241938110296e-01,1.569466241938110296e-01,0.000000000000000000e+00
1.320000000000000062e-01,2.104245430271939679e-02,1.569425325383816405e-01,1.569425325383816405e-01,0.000000000000000000e+00
1.340000000000000080e-01,2.135633106056845226e-02,1.569383789245277216e-01,1.569383789245277216e-01,0.000000000000000000e+00
1.360000000000000098e-01,2.167019938727622608e-02,1.569341633538869074e-01,1.569341633538869074e-01,0.000000000000000000e+00
1.380000000000000115e-01,2.198405915893246812e-02,1.569298858281210074e-01,1.569298858281210074e-01,0.000000000000000000e+00
1.400000000000000133e-01,2.229791025163031445e-02,1.569255463489231672e-01,1.569255463489231672e-01,0.000000000000000000e+00
1.420000000000000151e-01,2.261175254146632202e-02,1.569211449180037687e-01,1.569211449180037687e-01,0.000000000000000000e+00
1.440000000000000169e-01,2.292558590454053108e-02,1.569166815371045298e-01,1.569166815371045298e-01,0.000000000000000000e+00
1.459999999999999909e-01,2.323941021695649298e-02,1.569121562079809351e-01,1.569121562079809351e-01,0.000000000000000000e+00
1.479999999999999927e-01,2.355322535482134647e-02,1.569075689324267442e-01,1.569075689324267442e-01,0.000000000000000000e+00
1.499999999999999944e-01,2.386703119424583852e-02,1.569029197122460140e-01,1.569029197122460140e-01,0.000000000000000000e+00
1.519999999999999962e-01,2.418082761134439373e-02,1.568982085492776068e-01,1.568982085492776068e-01,0.000000000000000000e+00
1.539999999999999980e-01,2.449461448223516635e-02,1.568934354453863089e-01,1.568934354453863089e-01,0.000000000000000000e+00
1.559999999999999998e-01,2.480839168304005415e-02,1.568886004024439007e-01,1.568886004024439007e-01,0.000000000000000000e+00
1.580000000000000016e-01,2.512215908988479560e-02,1.568837034223707072e-01,1.568837034223707072e-01,0.000000000000000000e+00
1.600000000000000033e-01,2.543591657889898716e-02,1.568787445070957687e-01,1.568787445070957687e-01,0.000000000000000000e+00
1.620000000000000051e-01,2.574966402621614234e-02,1.568737236585775741e-01,1.568737236585775741e-01,0.000000000000000000e+00
1.640000000000000069e-01,2.606340130797373325e-02,1.568686408787954567e-01,1.568686408787954567e-01,0.000000000000000000e+00
1.660000000000000087e-01,2.637712830031325312e-02,1.568634961697599195e-01,1.568634961697599195e-01,0.000000000000000000e+00
1.680000000000000104e-01,2.669084487938025441e-02,1.568582895335006444e-01,1.568582895335006444e-01,0.000000000000000000e+00
1.700000000000000122e-01,2.700455092132439741e-02,1.568530209720714885e-01,1.568530209720714885e-01,0.000000000000000000e+00
1.720000000000000140e-01,2.731824630229950923e-02,1.568476904875558964e-01,1.568476904875558964e-01,0.000000000000000000e+00
1.740000000000000158e-01,2.763193089846361500e-02,1.568422980820528834e-01,1.568422980820528834e-01,0.000000000000000000e+00
1.759999999999999898e-01,2.794560458597900726e-02,1.568368437576961316e-01,1.568368437576961316e-01,0.000000000000000000e+00
1.779999999999999916e-01,2.825926724101228416e-02,1.568313275166384468e-01,1.568313275166384468e-01,0.000000000000000000e+00
1.799999999999999933e-01,2.857291873973439103e-02,1.568257493610534237e-01,1.568257493610534237e-01,0.000000000000000000e+00
1.819999999999999951e-01,2.888655895832068984e-02,1.568201092931494067e-01,1.568201092931494067e-01,0.000000000000000000e+00
1.839999999999999969e-01,2.920018777295098691e-02,1.568144073151485351e-01,1.568144073151485351e-01,0.000000000000000000e+00
1.859999999999999987e-01,2.951380505980959190e-02,1.568086434293024800e-01,1.568086434293024800e-01,0.000000000000000000e+00
1.880000000000000004e-01,2.982741069508536985e-02,1.568028176378889749e-01,1.568028176378889749e-01,0.000000000000000000e+00
1.900000000000000022e-01,3.014100455497178283e-02,1.567969299432064867e-01,1.567969299432064867e-01,0.000000000000000000e+00
1.920000000000000040e-01,3.045458651566693500e-02,1.567909803475760755e-01,1.567909803475760755e-01,0.000000000000000000e+00
1.940000000000000058e-01,3.076815645337363514e-02,1.567849688533500541e-01,1.567849688533500541e-01,0.000000000000000000e+00
1.960000000000000075e-01,3.108171424429944513e-02,1.567788954629049936e-01,1.567788954629049936e-01,0.000000000000000000e+00
1.980000000000000093e-01,3.139525976465670776e-02,1.567727601786313152e-01,1.567727601786313152e-01,0.000000000000000000e+00
2.000000000000000111e-01,3.170879289066262652e-02,1.567665630029593804e-01,1.567665630029593804e-01,0.000000000000000000e+00
2.020000000000000129e-01,3.202231349853927600e-02,1.567603039383247410e-01,1.567603039383247410e-01,0.000000000000000000e+00
2.040000000000000147e-01,3.233582146451369210e-02,1.567539829872080515e-01,1.567539829872080515e-01,0.000000000000000000e+00
2.060000000000000164e-01,3.264931666481789979e-02,1.567476001521038442e-01,1.567476001521038442e-01,0.000000000000000000e+00
2.080000000000000182e-01,3.296279897568894779e-02,1.567411554355239989e-01,1.567411554355239989e-01,0.000000000000000000e+00
2.099999999999999922e-01,3.327626827336899878e-02,1.567346488400254978e-01,1.567346488400254978e-01,0.000000000000000000e+00
2.119999999999999940e-01,3.358972443410532249e-02,1.567280803681618540e-01,1.567280803681618540e-01,0.000000000000000000e+00
2.139999999999999958e-01,3.390316733415039974e-02,1.567214500225386220e-01,1.567214500225386220e-01,0.000000000000000000e+00
2.159999999999999976e-01,3.421659684976193633e-02,1.567147578057682955e-01,1.567147578057682955e-01,0.000000000000000000e+00
2.179999999999999993e-01,3.453001285720292551e-02,1.567080037204945930e-01,1.567080037204945930e-01,0.000000000000000000e+00
2.200000000000000011e-01,3.484341523274168961e-02,1.567011877693820499e-01,1.567011877693820499e-01,0.000000000000000000e+00
2.220000000000000029e-01,3.515680385265192859e-02,1.566943099551194873e-01,1.566943099551194873e-01,0.000000000000000000e+00
2.240000000000000047e-01,3.547017859321278249e-02,1.566873702804269519e-01,1.566873702804269519e-01,0.000000000000000000e+00
2.260000000000000064e-01,3.578353933070886617e-02,1.566803687480418372e-01,1.566803687480418372e-01,0.000000000000000000e+00
2.280000000000000082e-01,3.609688594143032475e-02,1.566733053607292925e-01,1.566733053607292925e-01,0.000000000000000000e+00
2.300000000000000100e-01,3.641021830167288226e-02,1.566661801212787530e-01,1.566661801212787530e-01,0.000000000000000000e+00
2.320000000000000118e-01,3.672353628773787626e-02,1.566589930324970015e-01,1.566589930324970015e-01,0.000000000000000000e+00
2.340000000000000135e-01,3.703683977593233423e-02,1.566517440972289843e-01,1.566517440972289843e-01,0.000000000000000000e+00
2.360000000000000153e-01,3.735012864256900128e-02,1.566444333183335258e-01,1.566444333183335258e-01,0.000000000000000000e+00
2.380000000000000171e-01,3.766340276396638875e-02,1.566370606986937364e-01,1.566370606986937364e-01,0.000000000000000000e+00
2.399999999999999911e-01,3.797666201644883666e-02,1.566296262412239515e-01,1.566296262412239515e-01,0.000000000000000000e+00
2.419999999999999929e-01,3.828990627634655530e-02,1.566221299488593233e-01,1.566221299488593233e-01,0.000000000000000000e+00
2.439999999999999947e-01,3.860313541999567388e-02,1.566145718245592899e-01,1.566145718245592899e-01,0.000000000000000000e+00
2.459999999999999964e-01,3.891634932373828903e-02,1.566069518713075759e-01,1.566069518713075759e-01,0.000000000000000000e+00
2.479999999999999982e-01,3.922954786392249954e-02,1.565992700921052527e-01,1.565992700921052527e-01,0.000000000000000000e+00
2.500000000000000000e-01,3.954273091690248959e-02,1.565915264899950254e-01,1.565915264899950254e-01,0.000000000000000000e+00
2.520000000000000018e-01,3.985589835903854961e-02,1.565837210680300073e-01,1.565837210680300073e-01,0.000000000000000000e+00
2.540000000000000036e-01,4.016905006669713868e-02,1.565758538292945368e-01,1.565758538292945368e-01,0.000000000000000000e+00
2.560000000000000053e-01,4.048218591625091234e-02,1.565679247768868299e-01,1.565679247768868299e-01,0.000000000000000000e+00
2.580000000000000071e-01,4.079530578407879887e-02,1.565599339139432666e-01,1.565599339139432666e-01,0.000000000000000000e+00
2.600000000000000089e-01,4.110840954656604096e-02,1.565518812436210438e-01,1.565518812436210438e-01,0.000000000000000000e+00
2.620000000000000107e-01,4.142149708010422343e-02,1.565437667690912360e-01,1.565437667690912360e-01,0.000000000000000000e+00
2.640000000000000124e-01,4.173456826109134266e-02,1.565355904935596121e-01,1.565355904935596121e-01,0.000000000000000000e+00
2.660000000000000142e-01,4.204762296593186899e-02,1.565273524202631661e-01,1.565273524202631661e-01,0.000000000000000000e+00
2.680000000000000160e-01,4.236066107103674677e-02,1.565190525524388920e-01,1.565190525524388920e-01,0.000000000000000000e+00
2.700000000000000178e-01,4.267368245282349842e-02,1.565106908933758256e-01,1.565106908933758256e-01,0.000000000000000000e+00
2.720000000000000195e-01,4.298668698771624525e-02,1.565022674463734109e-01,1.565022674463734109e-01,0.000000000000000000e+00
2.740000000000000213e-01,4.329967455214574906e-02,1.564937822147519086e-01,1.564937822147519086e-01,0.000000000000000000e+00
2.760000000000000231e-01,4.361264502254946773e-02,1.564852352018593351e-01,1.564852352018593351e-01,0.000000000000000000e+00
2.780000000000000249e-01,4.392559827537161760e-02,1.564766264110749316e-01,1.564766264110749316e-01,0.000000000000000000e+00
2.800000000000000266e-01,4.423853418706322205e-02,1.564679558458022257e-01,1.564679558458022257e-01,0.000000000000000000e+00
2.820000000000000284e-01,4.455145263408213235e-02,1.564592235094551531e-01,1.564592235094551531e-01,0.000000000000000000e+00
2.840000000000000302e-01,4.486435349289309704e-02,1.564504294054823441e-01,1.564504294054823441e-01,0.000000000000000000e+00
2.860000000000000320e-01,4.517723663996781741e-02,1.564415735373601846e-01,1.564415735373601846e-01,0.000000000000000000e+00
2.880000000000000338e-01,4.549010195178498916e-02,1.564326559085858770e-01,1.564326559085858770e-01,0.000000000000000000e+00
2.899999999999999800e-01,4.580294930483033017e-02,1.564236765226705017e-01,1.564236765226705017e-01,0.000000000000000000e+00
2.919999999999999818e-01,4.611577857559666371e-02,1.564146353831667724e-01,1.564146353831667724e-01,0.000000000000000000e+00
2.939999999999999836e-01,4.642858964058394627e-02,1.564055324936412805e-01,1.564055324936412805e-01,0.000000000000000000e+00
2.959999999999999853e-01,4.674138237629932996e-02,1.563963678576918426e-01,1.563963678576918426e-01,0.000000000000000000e+00
2.979999999999999871e-01,4.705415665925719026e-02,1.563871414789301528e-01,1.563871414789301528e-01,0.000000000000000000e+00
2.999999999999999889e-01,4.736691236597919547e-02,1.563778533610026000e-01,1.563778533610026000e-01,0.000000000000000000e+00
3.019999999999999907e-01,4.767964937299434824e-02,1.563685035075763896e-01,1.563685035075763896e-01,0.000000000000000000e+00
3.039999999999999925e-01,4.799236755683902039e-02,1.563590919223360742e-01,1.563590919223360742e-01,0.000000000000000000e+00
3.059999999999999942e-01,4.830506679405704301e-02,1.563496186090113094e-01,1.563496186090113094e-01,0.000000000000000000e+00
3.079999999999999960e-01,4.861774696119969263e-02,1.563400835713248116e-01,1.563400835713248116e-01,0.000000000000000000e+00
3.099999999999999978e-01,4.893040793482580919e-02,1.563304868130582781e-01,1.563304868130582781e-01,0.000000000000000000e+00
3.119999999999999996e-01,4.924304959150177519e-02,1.563208283379829977e-01,1.563208283379829977e-01,0.000000000000000000e+00
3.140000000000000013e-01,4.955567180780161979e-02,1.563111081499223010e-01,1.563111081499223010e-01,0.000000000000000000e+00
3.160000000000000031e-01,4.986827446030704658e-02,1.563013262527133962e-01,1.563013262527133962e-01,0.000000000000000000e+00
3.180000000000000049e-01,5.018085742560748214e-02,1.562914826502177779e-01,1.562914826502177779e-01,0.000000000000000000e+00
3.200000000000000067e-01,5.049342058030011071e-02,1.562815773463142877e-01,1.562815773463142877e-01,0.000000000000000000e+00
3.220000000000000084e-01,5.080596380098995751e-02,1.562716103449234006e-01,1.562716103449234006e-01,0.000000000000000000e+00
3.240000000000000102e-01,5.111848696428990951e-02,1.562615816499760002e-01,1.562615816499760002e-01,0.000000000000000000e+00
3.260000000000000120e-01,5.143098994682076402e-02,1.562514912654272559e-01,1.562514912654272559e-01,0.000000000000000000e+00
3.280000000000000138e-01,5.174347262521129809e-02,1.562413391952670316e-01,1.562413391952670316e-01,0.000000000000000000e+00
3.300000000000000155e-01,5.205593487609830317e-02,1.562311254435025387e-01,1.562311254435025387e-01,0.000000000000000000e+00
3.320000000000000173e-01,5.236837657612661984e-02,1.562208500141583356e-01,1.562208500141583356e-01,0.000000000000000000e+00
3.340000000000000191e-01,5.268079760194922107e-02,1.562105129113006141e-01,1.562105129113006141e-01,0.000000000000000000e+00
3.360000000000000209e-01,5.299319783022723301e-02,1.562001141390059744e-01,1.562001141390059744e-01,0.000000000000000000e+00
3.380000000000000226e-01,5.330557713762999056e-02,1.561896537013787722e-01,1.561896537013787722e-01,0.000000000000000000e+00
3.400000000000000244e-01,5.361793540083509280e-02,1.561791316025511189e-01,1.561791316025511189e-01,0.000000000000000000e+00
3.420000000000000262e-01,5.393027249652844468e-02,1.561685478466759425e-01,1.561685478466759425e-01,0.000000000000000000e+00
3.440000000000000280e-01,5.424258830140430560e-02,1.561579024379304570e-01,1.561579024379304570e-01,0.000000000000000000e+00
3.460000000000000298e-01,5.455488269216534486e-02,1.561471953805196322e-01,1.561471953805196322e-01,0.000000000000000000e+00
3.480000000000000315e-01,5.486715554552267643e-02,1.561364266786657851e-01,1.561364266786657851e-01,0.000000000000000000e+00
3.500000000000000333e-01,5.517940673819592134e-02,1.561255963366224575e-01,1.561255963366224575e-01,0.000000000000000000e+00
3.519999999999999796e-01,5.549163614691326324e-02,1.561147043586709471e-01,1.561147043586709471e-01,0.000000000000000000e+00
3.539999999999999813e-01,5.580384364841147610e-02,1.561037507491064291e-01,1.561037507491064291e-01,0.000000000000000000e+00
3.559999999999999831e-01,5.611602911943597283e-02,1.560927355122483651e-01,1.560927355122483651e-01,0.000000000000000000e+00
3.579999999999999849e-01,5.642819243674088159e-02,1.560816586524543803e-01,1.560816586524543803e-01,0.000000000000000000e+00
3.599999999999999867e-01,5.674033347708906661e-02,1.560705201740925085e-01,1.560705201740925085e-01,0.000000000000000000e+00
3.619999999999999885e-01,5.705245211725219062e-02,1.560593200815620085e-01,1.560593200815620085e-01,0.000000000000000000e+00
3.639999999999999902e-01,5.736454823401075653e-02,1.560480583792829556e-01,1.560480583792829556e-01,0.000000000000000000e+00
3.659999999999999920e-01,5.767662170415415596e-02,1.560367350716997115e-01,1.560367350716997115e-01,0.000000000000000000e+00
3.679999999999999938e-01,5.798867240448072474e-02,1.560253501632843931e-01,1.560253501632843931e-01,0.000000000000000000e+00
3.699999999999999956e-01,5.830070021179779155e-02,1.560139036585334038e-01,1.560139036585334038e-01,0.000000000000000000e+00
3.719999999999999973e-01,5.861270500292172642e-02,1.560023955619674330e-01,1.560023955619674330e-01,0.000000000000000000e+00
