# 2.2255274341938858
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.225527434193885767e-02,9.419888696778971893e-01,9.642441440198360469e-01,9.642441440198361136e+00,2.892732432059508252e-01,0.000000000000000000e+00,9.642441440198361136e+00,9.931714683404312183e+00
3.255132380822655519e-02,9.419888696778971893e-01,9.094375458696706271e-01,9.094375458696706716e+00,5.621045069668521021e-01,-1.918230935255789582e+00,7.176144523440917133e+00,7.738249030407769347e+00
1.424851379205308022e-01,9.419888696778971893e-01,7.995037317573663316e-01,7.995037317573663316e+00,8.019556264940619350e-01,-3.847683493930650123e+00,4.147353823643013193e+00,4.949309450137074684e+00
2.796567721922669225e-01,9.419888696778971893e-01,6.623320974856302668e-01,6.623320974856302890e+00,1.000655255739751226e+00,-4.801007199510761936e+00,1.822313775345540954e+00,2.822969031085292180e+00
4.228028224329171136e-01,9.419888696778971893e-01,5.191860472449800756e-01,5.191860472449800312e+00,1.156411069913245049e+00,-5.010111758422756800e+00,1.817487140270435120e-01,1.338159783940288783e+00
5.570751961710314060e-01,9.419888696778971893e-01,3.849136735068657833e-01,3.849136735068658055e+00,1.271885171965304817e+00,-4.699533080834000565e+00,-8.503963457653425095e-01,4.214888261999627517e-01
6.733071838292064015e-01,9.419888696778971893e-01,2.686816858486907877e-01,2.686816858486907655e+00,1.352489677719912020e+00,-4.068119568036125067e+00,-1.381302709549217411e+00,-2.881303182930583517e-02
7.669957668271494278e-01,9.419888696778971893e-01,1.749931028507477615e-01,1.749931028507477615e+00,1.404987608575136493e+00,-3.279100404928005918e+00,-1.529169376420528303e+00,-1.241817678453918106e-01
8.371872578046997138e-01,9.419888696778971893e-01,1.048016118731974755e-01,1.048016118731974755e+00,1.436428092137095769e+00,-2.456702184214259788e+00,-1.408686065482285033e+00,2.774202665481073637e-02
8.854008947068592317e-01,9.419888696778971893e-01,5.658797497103795759e-02,5.658797497103795759e-01,1.453404484628407101e+00,-1.687477291575583127e+00,-1.121597541865203551e+00,3.318069427632033275e-01
9.146773266947119119e-01,9.419888696778971893e-01,2.731154298318527740e-02,2.731154298318527740e-01,1.461597947523362695e+00,-1.024675119574843807e+00,-7.515596897429910328e-01,7.100382577803716622e-01
9.287988669184294999e-01,9.419888696778971893e-01,1.319000275946768941e-02,1.319000275946768941e-01,1.465554948351203146e+00,-4.942539078301155797e-01,-3.623538802354386856e-01,1.103201068115764460e+00
