time,ref,meas,u,target_h
0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.00028681027
0.03,0.0,0.03573505952954292,0.03573505952954292,0.0008517405
0.04,0.0,0.10226500779390335,0.10226500779390335,0.0016862776
0.05,0.0,0.12498165667057037,0.12498165667057037,0.002782083
0.06,0.0,0.2268066704273224,0.2268066704273224,0.00413099
0.07,0.0,0.3173888027667999,0.3173888027667999,0.0057250005
0.08,0.0,0.39597848057746887,0.39597848057746887,0.0075562834
0.09,0.0,0.465046226978302,0.465046226978302,0.009617171
0.1,0.0,0.5953699946403503,0.5953699946403503,0.011900158
0.11,0.0,0.8186750411987305,0.8186750411987305,0.014397895
0.12,0.0,0.9977203607559204,0.9977203607559204,0.017103191
0.13,0.0,1.055938720703125,1.055938720703125,0.020009007
0.14,0.0,1.178952932357788,1.178952932357788,0.023108456
0.15,0.0,1.2160485982894897,1.2160485982894897,0.026394801
0.16,0.0,1.3896721601486206,1.3896721601486206,0.029861446
0.17,0.0,1.5069531202316284,1.5069531202316284,0.03350194
0.18,0.0,1.646822214126587,1.646822214126587,0.037309986
0.19,0.0,1.7695485353469849,1.7695485353469849,0.041279405
0.2,0.0,1.805888056755066,1.805888056755066,0.045404166
0.21,0.0,1.8729493618011475,1.8729493618011475,0.049678374
0.22,0.0,1.9341150522232056,1.9341150522232056,0.054096263
0.23,0.0,2.057065963745117,2.057065963745117,0.0586522
0.24,0.0,2.0953075885772705,2.0953075885772705,0.06334067
0.25,0.0,2.1629703044891357,2.1629703044891357,0.068156295
0.26,0.0,2.259422540664673,2.259422540664673,0.07309381
0.27,0.0,2.306649684906006,2.306649684906006,0.07814809
0.28,0.0,2.278505802154541,2.278505802154541,0.0833141
0.29,0.0,2.2916183471679688,2.2916183471679688,0.08858695
0.3,0.0,2.2907636165618896,2.2907636165618896,0.09396185
0.31,0.0,2.33565616607666,2.33565616607666,0.09943412
0.32,0.0,2.445988178253174,2.445988178253174,0.10499921
0.33,0.0,2.368020534515381,2.368020534515381,0.11065265
0.34,0.0,2.332265853881836,2.332265853881836,0.1163901
0.35000000000000003,0.0,2.3030271530151367,2.3030271530151367,0.12220732
0.36,0.0,2.2050952911376953,2.2050952911376953,0.12810017
