time,ref,meas,u,target_h
0.0,0.0,0.0275929756462574,0.0275929756462574,0.0
0.01,0.0,0.16357901692390442,0.16357901692390442,0.0
0.02,0.0,0.24086105823516846,0.24086105823516846,0.00028681027
0.03,0.0,0.47652488946914673,0.47652488946914673,0.0008517405
0.04,0.0,0.6959375739097595,0.6959375739097595,0.0016862776
0.05,0.0,0.9489889740943909,0.9489889740943909,0.002782083
0.06,0.0,1.1190943717956543,1.1190943717956543,0.00413099
0.07,0.0,1.3816192150115967,1.3816192150115967,0.0057250005
0.08,0.0,1.5359551906585693,1.5359551906585693,0.0075562834
0.09,0.0,1.7183758020401,1.7183758020401,0.009617171
0.1,0.0,1.863879919052124,1.863879919052124,0.011900158
0.11,0.0,2.0103533267974854,2.0103533267974854,0.014397895
0.12,0.0,2.065347909927368,2.065347909927368,0.017103191
0.13,0.0,2.1549108028411865,2.1549108028411865,0.020009007
0.14,0.0,2.1696345806121826,2.1696345806121826,0.023108456
0.15,0.0,2.2049338817596436,2.2049338817596436,0.026394801
0.16,0.0,2.1860036849975586,2.1860036849975586,0.029861446
0.17,0.0,2.2772104740142822,2.2772104740142822,0.03350194
0.18,0.0,2.3901870250701904,2.3901870250701904,0.037309986
0.19,0.0,2.3149936199188232,2.3149936199188232,0.041279405
0.2,0.0,2.4222679138183594,2.4222679138183594,0.045404166
0.21,0.0,2.3080201148986816,2.3080201148986816,0.049678374
0.22,0.0,2.281329870223999,2.281329870223999,0.054096263
0.23,0.0,2.3251705169677734,2.3251705169677734,0.0586522
0.24,0.0,2.2567026615142822,2.2567026615142822,0.06334067
0.25,0.0,2.1992640495300293,2.1992640495300293,0.068156295
0.26,0.0,2.208036422729492,2.208036422729492,0.07309381
0.27,0.0,2.2780263423919678,2.2780263423919678,0.07814809
0.28,0.0,2.2307422161102295,2.2307422161102295,0.0833141
0.29,0.0,2.1976208686828613,2.1976208686828613,0.08858695
0.3,0.0,2.1828811168670654,2.1828811168670654,0.09396185
0.31,0.0,2.183122396469116,2.183122396469116,0.09943412
0.32,0.0,2.1547274589538574,2.1547274589538574,0.10499921
0.33,0.0,2.1577563285827637,2.1577563285827637,0.11065265
0.34,0.0,2.113051176071167,2.113051176071167,0.1163901
0.35000000000000003,0.0,2.093893527984619,2.093893527984619,0.12220732
0.36,0.0,2.1697957515716553,2.1697957515716553,0.12810017
0.37,0.0,2.154846429824829,2.154846429824829,0.13406463
0.38,0.0,2.136275291442871,2.136275291442871,0.14009674
0.39,0.0,2.174107074737549,2.174107074737549,0.14619265
0.4,0.0,2.1235625743865967,2.1235625743865967,0.15234865
0.41000000000000003,0.0,2.1095848083496094,2.1095848083496094,0.15856108
0.42,0.0,2.08953595161438,2.08953595161438,0.16482638
0.43,0.0,2.0820751190185547,2.0820751190185547,0.17114107
