time,dcmotor,h_ref,h_meas,u_p,u_i,u_d,u_pd,error
0.0,12.525639004177517,0.800000011920929,0.05999999865889549,7.400000095367432,0.061500001698732376,16.833333333333332,17.244444449742634,0.7400000132620335
0.20360589027404785,8.27400016784668,0.800000011920929,0.05999999865889549,7.5,0.17400000989437103,0.5999999046325684,8.099999904632568,0.7400000132620335
0.38572025299072266,7.085000038146973,0.800000011920929,0.05000000074505806,7.400000095367432,0.2849999964237213,-0.5999999046325684,6.800000190734863,0.7500000111758709
0.589397668838501,7.796000003814697,0.800000011920929,0.05999999865889549,7.400000095367432,0.3959999978542328,0.0,7.400000095367432,0.7400000132620335
0.7897734642028809,7.20550012588501,0.800000011920929,0.07000000029802322,7.300000190734863,0.5055000185966492,-0.6000000834465027,6.700000107288361,0.7300000116229057
0.9840645790100098,5.109000205993652,0.800000011920929,0.10999999940395355,6.900000095367432,0.609000027179718,-2.3999998569488525,4.500000238418579,0.6900000125169754
1.18534517288208,3.4035000801086426,0.800000011920929,0.17000000178813934,6.300000190734863,0.7035000324249268,-3.6000001430511475,2.700000047683716,0.6300000101327896
1.3789610862731934,2.8889999389648438,0.800000011920929,0.23000000417232513,6.300000190734863,0.7035000324249268,-3.6000001430511475,2.700000047683716,0.5700000077486038
1.5806503295898438,3.067000389099121,0.800000011920929,0.2800000011920929,5.200000286102295,0.8670000433921814,-2.999999761581421,2.200000524520874,0.5200000107288361
1.7900960445404053,2.6374993324279785,0.800000011920929,0.33000001311302185,4.699999809265137,0.9375,-3.0000007152557373,1.6999990940093994,0.4699999988079071
1.9873523712158203,2.2005012035369873,0.800000011920929,0.36000001430511475,4.200000286102295,1.000499963760376,-2.9999990463256836,1.2000012397766113,0.4399999976158142
2.1849474906921387,1.7559993267059326,0.800000011920929,0.4300000071525574,3.700000047683716,1.055999994277954,-3.0000007152557373,0.6999993324279785,0.3700000047683716
2.3845112323760986,2.7070000171661377,0.800000011920929,0.4399999976158142,3.700000047683716,1.055999994277954,-3.0000007152557373,0.6999993324279785,0.36000001430511475
2.587357521057129,1.0505013465881348,0.800000011920929,0.5099999904632568,2.9000000953674316,1.1505000591278076,-2.9999990463256836,-0.09999895095825195,0.2900000214576721
2.795729160308838,0.5864993929862976,0.800000011920929,0.5600000023841858,2.4000000953674316,1.186500072479248,-3.0000007152557373,-0.6000006198883057,0.24000000953674316
2.9873101711273193,0.11499928683042526,0.800000011920929,0.6100000143051147,1.899999976158142,1.215000033378601,-3.0000007152557373,-1.1000007390975952,0.1899999976158142
3.185070037841797,1.0390020608901978,0.800000011920929,0.6399999856948853,1.899999976158142,1.215000033378601,-3.0000007152557373,-1.1000007390975952,0.1600000262260437
3.382117748260498,0.05699878931045532,0.800000011920929,0.6800000071525574,1.2000000476837158,1.2569999694824219,-2.400001287460327,-1.2000012397766113,0.12000000476837158
3.586287498474121,0.3705020844936371,0.800000011920929,0.7200000286102295,0.9000003337860107,1.2705000638961792,-1.7999982833862305,-0.8999979496002197,0.07999998331069946
3.788896322250366,0.07949820160865784,0.800000011920929,0.7400000095367432,0.6000000238418579,1.2795000076293945,-1.800001859664917,-1.200001835823059,0.06000000238418579
3.992774248123169,0.48550140857696533,0.800000011920929,0.7599999904632568,0.4000002145767212,1.2855000495910645,-1.1999988555908203,-0.7999986410140991,0.04000002145767212
4.200188398361206,0.2885015904903412,0.800000011920929,0.7799999713897705,0.20000040531158447,1.2885000705718994,-1.1999988555908203,-0.9999984502792358,0.020000040531158447
4.406278133392334,0.7899969220161438,0.800000011920929,0.7900000214576721,0.20000040531158447,1.2885000705718994,-1.1999988555908203,-0.9999984502792358,0.009999990463256836
4.58450722694397,0.690000593662262,0.800000011920929,0.800000011920929,0.0,1.290000081062317,-0.5999994277954102,-0.5999994277954102,0.0
4.788118839263916,1.290000081062317,0.800000011920929,0.800000011920929,0.0,1.290000081062317,0.0,0.0,0.0
4.986025810241699,1.991499423980713,0.800000011920929,0.800000011920929,0.09999990463256836,1.2915000915527344,0.5999994277954102,0.6999993324279785,0.0
5.1860363483428955,2.094503402709961,0.800000011920929,0.7799999713897705,0.20000040531158447,1.2944999933242798,0.6000030040740967,0.8000034093856812,0.020000040531158447
5.383073091506958,2.1989998817443848,0.800000011920929,0.7699999809265137,0.30000030994415283,1.2990000247955322,0.5999994277954102,0.899999737739563,0.030000030994415283
5.581090450286865,2.304999589920044,0.800000011920929,0.7599999904632568,0.30000030994415283,1.2990000247955322,0.5999994277954102,0.899999737739563,0.04000002145767212
5.793978452682495,2.4124996662139893,0.800000011920929,0.75,0.5000001192092896,1.3125,0.5999994277954102,1.0999995470046997,0.050000011920928955
5.984744548797607,2.5214993953704834,0.800000011920929,0.7400000095367432,0.6000000238418579,1.3215000629425049,0.5999994277954102,1.199999451637268,0.06000000238418579
6.179830551147461,2.6319994926452637,0.800000011920929,0.7300000190734863,0.6999999284744263,1.3320000171661377,0.5999994277954102,1.2999993562698364,0.06999999284744263
6.391624927520752,3.445502758026123,0.800000011920929,0.7099999785423279,0.9000003337860107,1.345500111579895,1.2000024318695068,2.1000027656555176,0.09000003337860107
6.613888263702393,2.9604997634887695,0.800000011920929,0.7099999785423279,1.000000238418579,1.3605000972747803,0.5999994277954102,1.5999996662139893,0.09000003337860107
6.786851644515991,2.375500202178955,0.800000011920929,0.699999988079071,1.000000238418579,1.3755000829696655,0.0,1.000000238418579,0.10000002384185791
6.986119031906128,3.0919995307922363,0.800000011920929,0.699999988079071,1.1000001430511475,1.3920000791549683,0.5999994277954102,1.6999995708465576,0.10000002384185791
