time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u
1079.529569864273,0.7099999785423279,0.699999988079071,-0.0099999904632568,-0.0899999141693115,0.0,0.0,-0.08999991416931119,-0.5954988598823547
1079.629233121872,0.7099999785423279,0.699999988079071,-0.0099999904632568,-0.0899999141693115,-0.00010000169277191162,0.0,-0.0899999141693115,0.1044004708528518
1079.729496717453,0.7099999785423279,0.699999988079071,-0.0099999904632568,-0.0899999141693115,-0.0002000033855439065,0.0,-0.0899999141693115,0.1043004691600799
1079.8284888267517,0.7099999785423279,0.699999988079071,-0.0099999904632568,-0.0899999141693115,-0.0003000050783157904,0.0,-0.0899999141693115,0.104200467467308
1079.928999900818,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.0005000084638596136,-0.7000035047531128,-0.8800038695335388,-0.6860034912824631
1080.0284004211426,0.7099999785423279,0.699999988079071,-0.0099999904632568,-0.0899999141693115,-0.0006000101566314975,0.0,-0.0899999141693115,0.1039004623889923
1080.128765821457,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.000800013542175293,0.0,-0.180000364780426,0.0137000083923339
1080.228613615036,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.0010000020265580056,-0.7000035047531128,-0.8800038695335388,-0.6865034848451614
1080.3281440734863,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.0012000054121018011,0.0,-0.180000364780426,0.0133000165224075
1080.4305102825165,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.0014000087976455966,0.0,-0.180000364780426,0.0131000131368637
1080.5286688804626,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.001600012183189392,0.0,-0.180000364780426,0.0129000097513198
1080.629751443863,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.0018000155687332153,0.0,-0.180000364780426,0.012700006365776
1080.7285709381104,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.0020000040531159002,0.0,-0.180000364780426,0.0125000178813934
1080.8323934078217,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.0023000091314316073,-0.6999993324279785,-0.969999611377716,-0.7777992337942123
1080.935019016266,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.002500012516975403,0.0,-0.180000364780426,0.0120000094175338
1081.0336320400238,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.0027000159025193093,0.6999993324279785,0.5199989676475525,0.7117993384599686
1081.1337077617643,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.003000006079673795,-0.6999993324279785,-0.969999611377716,-0.7784992307424545
1081.2370283603668,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.003300011157989502,-0.6999993324279785,-0.969999611377716,-0.7787992358207703
1081.3392593860626,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.0036000162363052923,0.0,-0.2700002789497375,-0.0790999084711074
1081.4466361999512,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.0039000064134598056,0.0,-0.2700002789497375,-0.079399898648262
1081.5435769557953,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.004200011491775513,0.0,-0.2700002789497375,-0.0796999037265777
1081.652808427811,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.004500016570091303,0.0,-0.2700002789497375,-0.0799999088048935
1081.747646331787,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.0047000199556350986,0.6999993324279785,0.5199989676475525,0.7097993344068527
1081.8525414466858,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.005000010132789612,0.0,-0.2700002789497375,-0.0804999023675918
1081.954868555069,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.005300015211105402,-0.6999993324279785,-0.969999611377716,-0.7807992398738861
1082.265207529068,0.7300000190734863,0.699999988079071,-0.0300000309944152,-0.2700002789497375,-0.005600020289421109,0.0,-0.2700002789497375,-0.0810999125242233
1082.2652175426483,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.005800008773803711,0.6999993324279785,0.5199989676475525,0.7086993455886841
1082.2652280330658,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.00600001215934759,0.6999993324279785,0.5199989676475525,0.7084993422031403
1082.3284072875977,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.006200015544891413,0.0,-0.180000364780426,0.0083000063896179
1082.4288210868835,0.7200000286102295,0.699999988079071,-0.0200000405311584,-0.180000364780426,-0.006400018930435208,0.0,-0.180000364780426,0.008100003004074
1082.528827905655,0.7200000286102295,1.399999976158142,0.6799999475479126,6.119999408721924,0.0003999769687652033,16.88888888888889,17.228888856040108,12.517494431800312
1082.628915309906,0.7200000286102295,1.399999976158142,0.6799999475479126,6.119999408721924,0.007199987769126892,16.88888888888889,17.228888856040108,12.51787221017811
1082.7304899692535,0.7099999785423279,1.399999976158142,0.6899999976158142,6.210000038146973,0.014099985361099188,0.7000035047531128,6.910003542900085,7.11860391497612
1082.831600189209,0.7200000286102295,1.399999976158142,0.6799999475479126,6.119999408721924,0.0208999812602996,0.0,6.119999408721924,6.335399776697159
