time,dcmotor,h_ref,h_meas,u_p,u_i,u_d,u_pd,error
248.37814474105835,2.613501071929932,1.0,1.0099999904632568,-0.0999999046325683,0.0,0.0,-0.0999999046325683,-0.0099999904632568
248.444327433904,2.613001108169556,1.0,1.0099999904632568,-0.0999999046325683,-0.0004999637603759667,0.0,-0.0999999046325683,-0.0099999904632568
248.51051012674967,2.61250114440918,1.0,1.0099999904632568,-0.0999999046325683,-0.0009999275207519334,0.0,-0.0999999046325683,-0.0099999904632568
248.5766928195953,2.612001180648804,1.0,1.0099999904632568,-0.0999999046325683,-0.0014998912811279,0.0,-0.0999999046325683,-0.0099999904632568
248.64315152168274,2.6115011374155683,1.0,1.0099999904632568,-0.0999999046325683,-0.0019999345143635666,0.0,-0.0999999046325683,-0.0099999904632568
248.70961022377017,2.6110010941823325,1.0,1.0099999904632568,-0.0999999046325683,-0.002499977747599233,0.0,-0.0999999046325683,-0.0099999904632568
248.7760689258576,2.6105010509490967,1.0,1.0099999904632568,-0.0999999046325683,-0.0030000209808349,0.0,-0.0999999046325683,-0.0099999904632568
248.843380133311,2.843834161758423,1.0,1.006666660308838,-0.06666660308837888,-0.0030000209808349,0.19999980926513672,0.13333320617675787,-0.006666660308837866
248.91069134076437,3.077167272567749,1.0,1.003333330154419,-0.03333330154418944,-0.0030000209808349,0.39999961853027344,0.36666631698608404,-0.003333330154418933
248.97800254821777,3.310500383377075,1.0,1.0,0.0,-0.0030000209808349,0.5999994277954102,0.5999994277954102,0.0
249.0453617572784,3.1105005741119385,1.0,1.0,0.0,-0.0030000209808349,0.39999961853027344,0.39999961853027344,0.0
249.11272096633908,2.9105007648468018,1.0,1.0,0.0,-0.0030000209808349,0.19999980926513672,0.19999980926513672,0.0
249.18008017539972,2.710500955581665,1.0,1.0,0.0,-0.0030000209808349,0.0,0.0,0.0
249.24628051122025,2.710500955581665,1.0,1.0,0.0,-0.0030000209808349,0.0,0.0,0.0
