time,dcmotor,h_ref,h_meas,pid_p,pid_i,pid_d,pid_pd,error,snn_pd,snn_i
158.0236930847168,1.1287366151809692,0.8999999761581421,0.949999988079071,0.0,0.0,0.0,-0.500000119209289,-0.0500000119209289,-0.005262354388833,0.0
158.08866874376932,1.1303268273671467,0.8999999761581421,0.9366666674613953,0.0,-0.0005000034968058,0.0,0.4333323240280156,-0.03666669130325313,-0.0031721312940741334,0.0
158.15364440282187,1.1319170395533245,0.8999999761581421,0.9233333468437194,0.0,-0.0010000069936116,0.0,1.3666647672653203,-0.023333370685577365,-0.001081908199315267,0.0
158.2186200618744,1.133507251739502,0.8999999761581421,0.9100000262260436,0.0,-0.0015000104904174,0.0,2.2999972105026245,-0.0100000500679016,0.0010083148954436,0.0
158.2859399318695,1.134927789370219,0.8999999761581421,0.9000000158945719,0.0,-0.0005000034968058,0.0,2.199998696645101,-3.973642986529469e-08,0.0014288378103325334,0.0
158.35325980186462,1.1363483270009358,0.8999999761581421,0.8900000055631001,0.0,0.0005000034968058,0.0,2.100000182787577,0.009999970595041869,0.0018493607252214666,0.0
158.42057967185974,1.1377688646316528,0.8999999761581421,0.8799999952316284,0.0,0.0015000104904174,0.0,2.0000016689300537,0.0199999809265136,0.0022698836401104,0.0
158.48696613311768,1.1403534412384033,0.8999999761581421,0.8733333349227905,0.0,0.003999988238016767,0.0,1.8666672706604004,0.0266666412353515,0.002354486767823433,0.0
158.5533525943756,1.1429380178451538,0.8999999761581421,0.8666666746139526,0.0,0.006499965985616134,0.0,1.733332872390747,0.0333333015441894,0.002439089895536467,0.0
158.61973905563354,1.1455225944519043,0.8999999761581421,0.8600000143051147,0.0,0.0089999437332155,0.0,1.5999984741210938,0.0399999618530273,0.0025236930232495,0.0
158.6880553563436,1.4081512689590456,0.8999999761581421,0.850000003973643,0.0,0.012999931971232202,0.0,1.899999578793844,0.049999972184499065,0.26115236850455403,0.0
158.75637165705362,1.670779943466187,0.8999999761581421,0.8399999936421713,0.0,0.0169999202092489,0.0,2.200000683466594,0.05999998251597083,0.5197810439858586,0.0
158.82468795776367,1.933408617973328,0.8999999761581421,0.8299999833106995,0.0,0.0209999084472656,0.0,2.500001788139344,0.0699999928474426,0.7784097194671631,0.0
158.8903623421987,1.9980943997701013,0.8999999761581421,0.8199999928474426,0.0,0.025999903678894,0.0,2.6000005006790166,0.07999998331069944,0.8380955060323079,0.0
158.9560367266337,2.0627801815668745,0.8999999761581421,0.8100000023841858,0.0,0.030999898910522402,0.0,2.6999992132186894,0.08999997377395626,0.8977812925974528,0.0
159.02171111106873,2.1274659633636475,0.8999999761581421,0.800000011920929,0.0,0.0359998941421508,0.0,2.799997925758362,0.0999999642372131,0.9574670791625975,0.0
159.08696055412292,2.1383204460144043,0.8999999761581421,0.7900000015894572,0.0,0.0424998998641967,0.0,2.899999221165975,0.10999997456868486,0.9618215958277384,0.0
159.15220999717712,2.149174928665161,0.8999999761581421,0.7799999912579855,0.0,0.0489999055862426,0.0,3.000000516573588,0.11999998490015662,0.9661761124928792,0.0
159.21745944023132,2.160029411315918,0.8999999761581421,0.7699999809265137,0.0,0.0554999113082885,0.0,3.100001811981201,0.1299999952316284,0.97053062915802,0.0
159.28573218981424,2.439615567525228,0.8999999761581421,0.7633333206176758,0.0,0.06299992402394607,0.0,2.966667413711548,0.13666665554046628,1.2426167329152424,0.0
159.35400493939719,2.719201723734538,0.8999999761581421,0.7566666603088379,0.0,0.07049993673960364,0.0,2.8333330154418945,0.1433333158493042,1.5147028366724649,0.0
159.4222776889801,2.998787879943848,0.8999999761581421,0.75,0.0,0.0779999494552612,0.0,2.699998617172241,0.1499999761581421,1.7867889404296875,0.0
159.4893122514089,3.2887244224548344,0.8999999761581421,0.7433333396911621,0.0,0.08649992942810057,0.0,2.76666522026062,0.15666663646697995,2.068225542704264,0.0
159.55634681383768,3.5786609649658208,0.8999999761581421,0.7366666793823242,0.0,0.09499990940093993,0.0,2.833331823348999,0.16333329677581784,2.3496621449788413,0.0
159.62338137626648,3.868597507476807,0.8999999761581421,0.7300000190734863,0.0,0.1034998893737793,0.0,2.899998426437378,0.1699999570846557,2.631098747253418,0.0
159.69091502825418,3.7069536844889326,0.8999999761581421,0.7233333388964335,0.0,0.11299991607666013,0.0,2.9666664203008017,0.17666663726170853,2.4599548975626626,0.0
159.75844868024188,3.5453098615010585,0.8999999761581421,0.7166666587193807,0.0,0.12249994277954096,0.0,3.033334414164225,0.18333331743876138,2.2888110478719077,0.0
159.8259823322296,3.383666038513184,0.8999999761581421,0.7099999785423279,0.0,0.1319999694824218,0.0,3.100002408027649,0.1899999976158142,2.1176671981811523,0.0
159.89411926269528,2.822839101155599,0.8999999761581421,0.7066666483879089,0.0,0.14199995994567863,0.0,2.933334708213806,0.19333332777023313,1.5468402107556662,0.0
159.962256193161,2.2620121637980146,0.8999999761581421,0.70333331823349,0.0,0.15199995040893546,0.0,2.7666670083999634,0.19666665792465207,0.9760132233301799,0.0
160.0303931236267,1.7011852264404297,0.8999999761581421,0.699999988079071,0.0,0.1619999408721923,0.0,2.5999993085861206,0.199999988079071,0.4051862359046936,0.0
160.09850676854452,1.867079257965088,0.8999999761581421,0.699999988079071,0.0,0.17249993483225495,0.0,2.399999499320984,0.199999988079071,0.4051862359046936,0.0
160.1666204134623,2.032973289489746,0.8999999761581421,0.699999988079071,0.0,0.18299992879231763,0.0,2.199999690055847,0.199999988079071,0.4051862359046936,0.0
