time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u
0,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.018750000745058,0,-0.450000017881393,-0.468750018626452
0.1,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.02250000089407,0,-0.450000017881393,-0.472500018775463
0.2,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.026250001043081,0,-0.450000017881393,-0.476250018924475
0.3,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.030000001192093,0,-0.450000017881393,-0.480000019073486
0.4,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.033750001341105,0,-0.450000017881393,-0.483750019222498
0.5,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.037500001490116,0,-0.450000017881393,-0.48750001937151
0.6,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.041250001639128,0,-0.450000017881393,-0.491250019520521
0.7,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.045000001788139,0,-0.450000017881393,-0.495000019669533
0.8,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.048750001937151,0,-0.450000017881393,-0.498750019818544
0.9,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.052500002086163,0,-0.450000017881393,-0.502500019967556
1,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.056250002235174,0,-0.450000017881393,-0.506250020116568
1.1,0.050000000745058,0,-0.050000000745058,-0.450000017881393,-0.060000002384186,0,-0.450000017881393,-0.510000020265579
1.2,0.050000000745058,0.5,0.449999999254942,4.05000019073486,-0.026250001043081,70,74.0500001907349,74.0237501896918
1.3,0.050000000745058,0.5,0.449999999254942,4.05000019073486,0.007499998901039,0,4.05000019073486,4.0575001896359
1.4,0.050000000745058,0.5,0.449999999254942,4.05000019073486,0.041249997913838,0,4.05000019073486,4.0912501886487
1.5,0.050000000745058,0.5,0.449999999254942,4.05000019073486,0.074999995529652,0,4.05000019073486,4.12500018626452
1.6,0.050000000745058,0.5,0.449999999254942,4.05000019073486,0.108750000596046,0,4.05000019073486,4.15875019133091
1.7,0.050000000745058,0.5,0.449999999254942,4.05000019073486,0.142499998211861,0,4.05000019073486,4.19250018894672
1.8,0.050000000745058,0.5,0.449999999254942,4.05000019073486,0.176249995827675,0,4.05000019073486,4.22625018656254
1.9,0.050000000745058,0.5,0.449999999254942,4.05000019073486,0.209999993443489,0,4.05000019073486,4.26000018417835
2,0.050000000745058,0.5,0.449999999254942,4.05000019073486,0.243750005960464,0,4.05000019073486,4.29375019669533
2.1,0.059999998658896,0.5,0.440000001341105,3.96000003814697,0.27674999833107,-1.39999973773956,2.56000030040741,2.83675029873848
2.2,0.059999998658896,0.5,0.440000001341105,3.96000003814697,0.309749990701675,0,3.96000003814697,4.26975002884865
2.3,0.070000000298023,0.5,0.429999999701977,3.86999988555908,0.342000007629395,-1.40000021457672,2.46999967098236,2.81199967861176
2.4,0.070000000298023,0.5,0.429999999701977,3.86999988555908,0.374249994754791,0,3.86999988555908,4.24424988031387
2.5,0.079999998211861,0.5,0.420000001788139,3.77999997138977,0.405750006437302,-1.39999973773956,2.38000023365021,2.78575024008751
2.6,0.090000003576279,0.5,0.409999996423721,3.69000005722046,0.436500012874603,-1.40000081062317,2.28999924659729,2.72649925947189
2.7,0.100000001490116,0.5,0.399999998509884,3.59999990463257,0.466499984264374,-1.39999973773956,2.20000016689301,2.66650015115738
2.8,0.100000001490116,0.5,0.399999998509884,3.59999990463257,0.496499985456467,0,3.59999990463257,4.09649989008904
2.9,0.109999999403954,0.5,0.390000000596046,3.50999999046326,0.525749981403351,-1.39999973773956,2.11000025272369,2.63575023412704
3,0.119999997317791,0.5,0.380000002682209,3.42000007629395,0.554250001907349,-1.39999973773956,2.02000033855438,2.57425034046173
3.1,0.119999997317791,0.5,0.380000002682209,3.42000007629395,0.582750022411346,0,3.42000007629395,4.00275009870529
