time,ref,meas,u,Target,error
5.8,,-0.811819851398468,-0.811819851398468,-0.20482865,-0.06463159
5.9,,-0.987029910087585,-0.987029910087585,-0.20963883,-0.064135626
6,,-1.02988743782043,-1.02988743782043,-0.21441208,-0.06364344
6.1,,-1.07780063152313,-1.07780063152313,-0.21914871,-0.063155
6.2,,-1.05209052562714,-1.05209052562714,-0.22384898,-0.06267029
6.3,,-1.04580163955688,-1.04580163955688,-0.22851318,-0.062189292
6.4,,-1.04426336288452,-1.04426336288452,-0.23314157,-0.061711967
6.5,,-1.0438871383667,-1.0438871383667,-0.23773445,-0.061238304
6.6,,-1.04379510879517,-1.04379510879517,-0.24229208,-0.06076827
6.7,,-1.08120250701904,-1.08120250701904,-0.24681471,-0.06030184
6.8,,-1.05292272567749,-1.05292272567749,-0.25130263,-0.059838995
6.9,,-1.04600524902344,-1.04600524902344,-0.2557561,-0.0593797
7,,-1.04431319236755,-1.04431319236755,-0.2601754,-0.058923934
7.1,,-1.04389929771423,-1.04389929771423,-0.2645608,-0.05847167
7.2,,-1.0437980890274,-1.0437980890274,-0.2689125,-0.058022875
7.3,,-1.08120322227478,-1.08120322227478,-0.27323082,-0.057577524
7.4,,-1.05292284488678,-1.05292284488678,-0.27751598,-0.057135597
7.5,,-1.04600524902344,-1.04600524902344,-0.28176826,-0.05669706
7.6,,-1.04431319236755,-1.04431319236755,-0.2859879,-0.05626189
7.7,,-1.04389929771423,-1.04389929771423,-0.29017517,-0.05583006
7.8,,-1.0437980890274,-1.0437980890274,-0.29433027,-0.055401545
7.9,,-1.08120322227478,-1.08120322227478,-0.2984535,-0.05497632
8,,-1.05292284488678,-1.05292284488678,-0.30254507,-0.054554358
8.1,,-1.04600524902344,-1.04600524902344,-0.30660525,-0.054135635
8.2,,-0.095939859747887,-0.095939859747887,-0.31063426,-0.053720128
8.3,,-0.811921060085297,-0.811921060085297,-0.31463233,-0.053307805
8.4,,-0.987054705619812,-0.987054705619812,-0.31859973,-0.05289865
8.5,,-1.0673234462738,-1.0673234462738,-0.32253668,-0.052492637
8.6,,-1.04952776432037,-1.04952776432037,-0.3264434,-0.052089736
8.7,,-1.04517483711243,-1.04517483711243,-0.33032015,-0.05168993
8.8,,-1.04411005973816,-1.04411005973816,-0.33416715,-0.05129319
8.9,,-1.08127963542938,-1.08127963542938,-0.33798462,-0.0508995
9,,-1.05294156074524,-1.05294156074524,-0.34177276,-0.050508827
9.1,,-1.04600977897644,-1.04600977897644,-0.34553185,-0.050121155
9.2,,-1.08174431324005,-1.08174431324005,-0.3492621,-0.04973646
9.3,,-1.05305516719818,-1.05305516719818,-0.3529637,-0.049354713
9.4,,-1.0460376739502,-1.0460376739502,-0.35663688,-0.0489759
9.5,,-1.04432106018066,-1.04432106018066,-0.36028188,-0.048599992
9.6,,-1.04390120506287,-1.04390120506287,-0.3638989,-0.04822697
9.7,,-1.04379844665527,-1.04379844665527,-0.36748818,-0.04785681
9.8,,-1.08120334148407,-1.08120334148407,-0.37104988,-0.047489494
9.9,,-1.05292284488678,-1.05292284488678,-0.37458426,-0.047124997
10,,-1.04600524902344,-1.04600524902344,-0.3780915,-0.046763297
10.1,,-1.04431319236755,-1.04431319236755,-0.38157183,-0.046404373
10.2,,-1.08132934570313,-1.08132934570313,-0.38502544,-0.0460482
10.3,,-1.05295372009277,-1.05295372009277,-0.38845256,-0.045694765
10.4,,-1.04601287841797,-1.04601287841797,-0.39185336,-0.045344044
10.5,,-1.04431509971619,-1.04431509971619,-0.39522806,-0.044996012
10.6,,-1.08132970333099,-1.08132970333099,-0.39857686,-0.04465065
10.7,,-1.05295372009277,-1.05295372009277,-0.40189996,-0.044307943
10.8,,-1.04601287841797,-1.04601287841797,-0.40519756,-0.043967865
10.9,,-0.133371621370316,-0.133371621370316,-0.40846983,-0.043630395
11,,-0.821077108383179,-0.821077108383179,-0.411717,-0.043295518
11.1,,-0.989294290542602,-0.989294290542602,-0.41493922,-0.04296321
11.2,,-1.03044128417969,-1.03044128417969,-0.41813675,-0.04263345
11.3,,-1.07793617248535,-1.07793617248535,-0.4213097,-0.042306226
11.4,,-1.05212366580963,-1.05212366580963,-0.42445832,-0.04198151
11.5,,-1.04580974578857,-1.04580974578857,-0.42758277,-0.041659288
11.6,,-1.04426538944244,-1.04426538944244,-0.43068323,-0.04133954
11.7,,-1.08131754398346,-1.08131754398346,-0.4337599,-0.041022245
11.8,,-1.05295085906982,-1.05295085906982,-0.43681297,-0.040707383
11.9,,-1.04601216316223,-1.04601216316223,-0.43984258,-0.04039494
12,,-1.0817449092865,-1.0817449092865,-0.44284895,-0.040084895
12.1,,-1.05305528640747,-1.05305528640747,-0.44583222,-0.03977723
12.2,,-1.0460376739502,-1.0460376739502,-0.44879264,-0.039471924
12.3,,-1.04432106018066,-1.04432106018066,-0.4517303,-0.039168965
12.4,,-1.08133125305176,-1.08133125305176,-0.45464543,-0.03886833
12.5,,-1.05295419692993,-1.05295419692993,-0.4575382,-0.03857
12.6,,-1.04601287841797,-1.04601287841797,-0.46040872,-0.038273964
12.7,,-1.04431509971619,-1.04431509971619,-0.46325725,-0.0379802
12.8,,-1.08132970333099,-1.08132970333099,-0.46608388,-0.037688687
12.9,,-1.05295372009277,-1.05295372009277,-0.46888885,-0.037399415
13,,-1.04601287841797,-1.04601287841797,-0.47167227,-0.03711236
13.1,,-1.04431509971619,-1.04431509971619,-0.47443435,-0.03682751
13.2,,-1.08132970333099,-1.08132970333099,-0.4771752,-0.036544845
13.3,,-1.05295372009277,-1.05295372009277,-0.47989503,-0.036264353
13.4,,-1.04601287841797,-1.04601287841797,-0.48259398,-0.03598601
13.5,,-1.04431509971619,-1.04431509971619,-0.4852722,-0.035709806
13.6,,-1.08132970333099,-1.08132970333099,-0.48792988,-0.03543572
13.7,,-1.05295372009277,-1.05295372009277,-0.49056718,-0.035163738
13.8,,-0.135069400072098,-0.135069400072098,-0.4931842,-0.034893844
13.9,,-0.821492433547974,-0.821492433547974,-0.49578115,-0.034626022
14,,-0.989395916461945,-0.989395916461945,-0.4983582,-0.034360256
14.1,,-1.0304661989212,-1.0304661989212,-0.5009154,-0.034096528
14.2,,-1.07794225215912,-1.07794225215912,-0.503453,-0.033834826
14.3,,-1.0521252155304,-1.0521252155304,-0.5059712,-0.033575132
14.4,,-1.04581022262573,-1.04581022262573,-0.50847,-0.03331743
14.5,,-1.08169543743134,-1.08169543743134,-0.5109496,-0.03306171
14.6,,-1.05304324626923,-1.05304324626923,-0.5134102,-0.03280795
14.7,,-1.08346474170685,-1.08346474170685,-0.5158519,-0.032556135
14.8,,-1.0534759759903,-1.0534759759903,-0.5182749,-0.032306258
14.9,,-1.04614055156708,-1.04614055156708,-0.52067924,-0.032058295
15,,-1.04434633255005,-1.04434633255005,-0.52306515,-0.031812236
15.1,,-1.08133745193481,-1.08133745193481,-0.52543277,-0.031568065
15.2,,-1.05295562744141,-1.05295562744141,-0.5277822,-0.031325772
15.3,,-1.04601335525513,-1.04601335525513,-0.5301136,-0.031085335
15.4,,-1.08174514770508,-1.08174514770508,-0.53242713,-0.030846745
15.5,,-1.05305540561676,-1.05305540561676,-0.53472286,-0.030609986
15.6,,-1.08346772193909,-1.08346772193909,-0.537001,-0.030375043
15.7,,-1.05347681045532,-1.05347681045532,-0.53926164,-0.030141905
15.8,,-1.04614078998566,-1.04614078998566,-0.5415049,-0.029910555
15.9,,-1.04434633255005,-1.04434633255005,-0.543731,-0.02968098
16,,-1.08133745193481,-1.08133745193481,-0.54594,-0.02945317
16.1,,-1.05295562744141,-1.05295562744141,-0.548132,-0.029227106
16.2,,-1.04601335525513,-1.04601335525513,-0.5503072,-0.029002778
16.3,,-1.04431509971619,-1.04431509971619,-0.55246574,-0.028780172
16.4,,-1.08132970333099,-1.08132970333099,-0.5546077,-0.028559273
16.5,,-1.05295372009277,-1.05295372009277,-0.5567332,-0.028340071
16.6,,-1.08344280719757,-1.08344280719757,-0.55884236,-0.028122552
16.7,,-0.105097308754921,-0.105097308754921,-0.5609354,-0.027906701
16.8,,-0.814161062240601,-0.814161062240601,-0.5630123,-0.027692508
16.9,,-0.987602591514587,-0.987602591514587,-0.5650733,-0.027479958
17,,-1.06745743751526,-1.06745743751526,-0.5671185,-0.02726904
17.1,,-1.049560546875,-1.049560546875,-0.569148,-0.027059741
17.2,,-1.04518282413483,-1.04518282413483,-0.57116187,-0.026852047
17.3,,-1.04411196708679,-1.04411196708679,-0.57316035,-0.02664595
17.4,,-1.08127999305725,-1.08127999305725,-0.57514346,-0.026441433
17.5,,-1.05294156074524,-1.05294156074524,-0.5771113,-0.026238486
17.6,,-1.08343982696533,-1.08343982696533,-0.57906413,-0.026037095
17.7,,-1.05346989631653,-1.05346989631653,-0.5810019,-0.025837252
17.8,,-1.0461391210556,-1.0461391210556,-0.58292484,-0.025638942
17.9,,-1.04434585571289,-1.04434585571289,-0.58483297,-0.025442155
18,,-1.08133721351624,-1.08133721351624,-0.5867265,-0.025246877
18.1,,-1.05295562744141,-1.05295562744141,-0.58860546,-0.025053099
18.2,,-1.08344328403473,-1.08344328403473,-0.59047,-0.024860807
18.3,,-1.05347073078156,-1.05347073078156,-0.59232026,-0.024669992
18.4,,-1.04613924026489,-1.04613924026489,-0.5941563,-0.02448064
18.5,,-1.04434597492218,-1.04434597492218,-0.5959783,-0.024292745
18.6,,-1.08133733272553,-1.08133733272553,-0.59778625,-0.024106288
18.7,,-1.05295562744141,-1.05295562744141,-0.59958035,-0.023921264
18.8,,-1.04601335525513,-1.04601335525513,-0.6013607,-0.023737662
18.9,,-1.04431509971619,-1.04431509971619,-0.60312736,-0.023555467
19,,-1.08132970333099,-1.08132970333099,-0.60488045,-0.02337467
19.1,,-1.05295372009277,-1.05295372009277,-0.6066201,-0.023195261
19.2,,-1.08344280719757,-1.08344280719757,-0.6083464,-0.02301723
19.3,,-1.05347061157227,-1.05347061157227,-0.61005944,-0.022840565
19.4,,-1.04613924026489,-1.04613924026489,-0.6117593,-0.022665255
19.5,,-1.04434597492218,-1.04434597492218,-0.6134462,-0.022491291
19.6,,-1.08133733272553,-1.08133733272553,-0.61512005,-0.022318663
19.7,,-0.104582294821739,-0.104582294821739,-0.6167811,-0.02214736
19.8,,-0.851465046405792,-0.851465046405792,-0.6184294,-0.02197737
19.9,,-0.996727406978607,-0.996727406978607,-0.6200651,-0.021808688
20,,-1.03225946426392,-1.03225946426392,-0.6216882,-0.0216413
20.1,,-1.04095089435577,-1.04095089435577,-0.6232988,-0.021475194
20.2,,-1.08050680160522,-1.08050680160522,-0.62489706,-0.021310365
20.3,,-1.05275249481201,-1.05275249481201,-0.6264831,-0.0211468
20.4,,-1.08339357376099,-1.08339357376099,-0.62805694,-0.020984491
20.5,,-1.05345857143402,-1.05345857143402,-0.6296187,-0.020823428
20.6,,-1.04613637924194,-1.04613637924194,-0.6311685,-0.0206636
20.7,,-1.04434525966644,-1.04434525966644,-0.63270634,-0.020505
20.8,,-1.08133709430695,-1.08133709430695,-0.6342324,-0.020347618
20.9,,-1.05295562744141,-1.05295562744141,-0.6357468,-0.020191442
21,,-1.08344328403473,-1.08344328403473,-0.63724947,-0.020036466
21.1,,-1.05347073078156,-1.05347073078156,-0.6387407,-0.019882679
21.2,,-1.04613924026489,-1.04613924026489,-0.64022046,-0.019730072
21.3,,-1.04434597492218,-1.04434597492218,-0.6416888,-0.019578638
21.4,,-1.08133733272553,-1.08133733272553,-0.643146,-0.019428365
21.5,,-1.05295562744141,-1.05295562744141,-0.6445919,-0.019279245
21.6,,-1.08344328403473,-1.08344328403473,-0.6460268,-0.019131271
21.7,,-1.05347073078156,-1.05347073078156,-0.6474506,-0.018984431
21.8,,-1.04613924026489,-1.04613924026489,-0.6488635,-0.01883872
21.9,,-1.04434597492218,-1.04434597492218,-0.6502656,-0.018694127
22,,-1.08133733272553,-1.08133733272553,-0.65165687,-0.018550642
22.1,,-1.05295562744141,-1.05295562744141,-0.6530375,-0.01840826
22.2,,-1.08344328403473,-1.08344328403473,-0.6544075,-0.01826697
22.3,,-1.05347073078156,-1.05347073078156,-0.655767,-0.018126765
22.4,,-1.08356928825378,-1.08356928825378,-0.65711606,-0.017987635
22.5,,-1.05350160598755,-1.05350160598755,-0.6584548,-0.017849574
22.6,,-1.04614686965942,-1.04614686965942,-0.65978324,-0.017712573
22.7,,-0.095974490046501,-0.095974490046501,-0.6611015,-0.017576622
22.8,,-0.849359571933746,-0.849359571933746,-0.6624096,-0.017441716
22.9,,-0.996212363243103,-0.996212363243103,-0.66370773,-0.017307844
23,,-1.06956350803375,-1.06956350803375,-0.66499585,-0.017175
23.1,,-1.05007565021515,-1.05007565021515,-0.6662741,-0.017043177
23.2,,-1.04530882835388,-1.04530882835388,-0.6675425,-0.016912365
23.3,,-1.04414284229279,-1.04414284229279,-0.6688012,-0.016782556
23.4,,-1.08128762245178,-1.08128762245178,-0.6700502,-0.016653745
23.5,,-1.05294346809387,-1.05294346809387,-0.6712897,-0.01652592
23.6,,-1.08344030380249,-1.08344030380249,-0.6725196,-0.01639908
23.7,,-1.05347001552582,-1.05347001552582,-0.6737401,-0.01627321
23.8,,-1.08356904983521,-1.08356904983521,-0.6749512,-0.016148308
23.9,,-1.05350148677826,-1.05350148677826,-0.67615306,-0.016024364
24,,-1.04614686965942,-1.04614686965942,-0.67734563,-0.015901372
24.1,,-1.04434776306152,-1.04434776306152,-0.6785291,-0.015779324
24.2,,-1.08133769035339,-1.08133769035339,-0.6797035,-0.015658211
24.3,,-1.0529557466507,-1.0529557466507,-0.6808688,-0.015538029
24.4,,-1.08344328403473,-1.08344328403473,-0.6820252,-0.01541877
24.5,,-1.05347073078156,-1.05347073078156,-0.68317276,-0.015300425
24.6,,-1.04613924026489,-1.04613924026489,-0.68431145,-0.015182989
24.7,,-1.04434597492218,-1.04434597492218,-0.68544143,-0.015066454
24.8,,-1.08133733272553,-1.08133733272553,-0.6865628,-0.014950815
24.9,,-1.05295562744141,-1.05295562744141,-0.6876755,-0.014836062
25,,-1.08344328403473,-1.08344328403473,-0.68877965,-0.01472219
25.1,,-1.05347073078156,-1.05347073078156,-0.6898753,-0.014609192
25.2,,-1.08356928825378,-1.08356928825378,-0.6909626,-0.014497061
25.3,,-1.05350160598755,-1.05350160598755,-0.6920415,-0.0143857915
25.4,,-1.04614686965942,-1.04614686965942,-0.6931122,-0.014275376
25.5,,-1.04434776306152,-1.04434776306152,-0.69417465,-0.014165807
25.6,,-1.08133769035339,-1.08133769035339,-0.69522893,-0.014057079
25.7,,-0.104582384228706,-0.104582384228706,-0.6962751,-0.013949187
25.8,,-0.851465106010437,-0.851465106010437,-0.69731325,-0.013842122
25.9,,-0.996727406978607,-0.996727406978607,-0.69834346,-0.013735878
26,,-1.06968951225281,-1.06968951225281,-0.69936574,-0.013630451
26.1,,-1.05010652542114,-1.05010652542114,-0.70038015,-0.013525832
26.2,,-1.04531633853912,-1.04531633853912,-0.7013868,-0.013422017
26.3,,-1.04414463043213,-1.04414463043213,-0.7023857,-0.013318999
26.4,,-1.08128809928894,-1.08128809928894,-0.703377,-0.013216771
26.5,,-1.05294358730316,-1.05294358730316,-0.70436066,-0.013115328
26.6,,-1.08344030380249,-1.08344030380249,-0.70533675,-0.013014663
26.7,,-1.05347001552582,-1.05347001552582,-0.7063054,-0.012914771
26.8,,-1.08356904983521,-1.08356904983521,-0.7072665,-0.012815646
26.9,,-1.05350148677826,-1.05350148677826,-0.7082203,-0.0127172815
27,,-1.04614686965942,-1.04614686965942,-0.7091668,-0.012619671
27.1,,-1.04434776306152,-1.04434776306152,-0.710106,-0.012522811
27.2,,-1.08133769035339,-1.08133769035339,-0.711038,-0.012426694
27.3,,-1.0529557466507,-1.0529557466507,-0.7119629,-0.012331315
27.4,,-1.08344328403473,-1.08344328403473,-0.7128806,-0.012236668
27.5,,-1.05347073078156,-1.05347073078156,-0.7137913,-0.012142748
27.6,,-1.08356928825378,-1.08356928825378,-0.71469504,-0.012049547
27.7,,-1.05350160598755,-1.05350160598755,-0.71559185,-0.011957063
27.8,,-1.04614686965942,-1.04614686965942,-0.71648175,-0.011865289
27.9,,-1.04434776306152,-1.04434776306152,-0.7173648,-0.011774219
28,,-1.08133769035339,-1.08133769035339,-0.7182411,-0.011683847
28.1,,-1.0529557466507,-1.0529557466507,-0.7191106,-0.01159417
28.2,,-1.08344328403473,-1.08344328403473,-0.7199735,-0.01150518
28.3,,-1.05347073078156,-1.05347073078156,-0.7208298,-0.011416874
28.4,,-1.08356928825378,-1.08356928825378,-0.7216795,-0.011329246
28.5,,-1.05350160598755,-1.05350160598755,-0.7225227,-0.01124229
28.6,,-1.04614686965942,-1.04614686965942,-0.72335935,-0.011156001
28.7,,-0.095974490046501,-0.095974490046501,-0.72418964,-0.011070375
28.8,,-0.849359571933746,-0.849359571933746,-0.72501355,-0.010985406
28.9,,-0.996212363243103,-0.996212363243103,-0.7258311,-0.01090109
29,,-1.06956350803375,-1.06956350803375,-0.72664243,-0.01081742
29.1,,-1.05007565021515,-1.05007565021515,-0.7274475,-0.010734392
29.2,,-1.08273887634277,-1.08273887634277,-0.7282464,-0.010652002
29.3,,-1.05329847335815,-1.05329847335815,-0.7290392,-0.010570245
29.4,,-1.04609715938568,-1.04609715938568,-0.72982585,-0.010489115
29.5,,-1.04433560371399,-1.04433560371399,-0.7306065,-0.010408606
29.6,,-1.08133482933044,-1.08133482933044,-0.7313812,-0.0103287175
29.7,,-1.05295503139496,-1.05295503139496,-0.73214984,-0.010249441
29.8,,-1.08344316482544,-1.08344316482544,-0.73291266,-0.010170773
29.9,,-1.05347073078156,-1.05347073078156,-0.73366964,-0.010092708
30,,-1.08356928825378,-1.08356928825378,-0.7344208,-0.010015244
30.1,,-1.05350160598755,-1.05350160598755,-0.73516613,-0.009938373
30.2,,-1.08357679843903,-1.08357679843903,-0.7359058,-0.009862092
30.3,,-1.05350339412689,-1.05350339412689,-0.7366398,-0.009786397
30.4,,-1.04614734649658,-1.04614734649658,-0.7373681,-0.009711283
30.5,,-1.0443480014801,-1.0443480014801,-0.7380909,-0.009636746
30.6,,-1.08133780956268,-1.08133780956268,-0.7388081,-0.009562781
30.7,,-1.0529557466507,-1.0529557466507,-0.7395198,-0.009489384
30.8,,-1.08344328403473,-1.08344328403473,-0.74022603,-0.009416549
30.9,,-1.05347073078156,-1.05347073078156,-0.74092686,-0.009344273
31,,-1.08356928825378,-1.08356928825378,-0.7416223,-0.009272553
31.1,,-1.05350160598755,-1.05350160598755,-0.74231243,-0.009201383
31.2,,-1.04614686965942,-1.04614686965942,-0.7429972,-0.009130759
31.3,,-1.04434776306152,-1.04434776306152,-0.7436768,-0.009060677
31.4,,-1.08133769035339,-1.08133769035339,-0.7443511,-0.008991133
31.5,,-1.0529557466507,-1.0529557466507,-0.7450203,-0.008922123
31.6,,-1.08344328403473,-1.08344328403473,-0.74568427,-0.008853643
31.7,,-0.105097427964211,-0.105097427964211,-0.7463432,-0.008785688
31.8,,-0.851591050624847,-0.851591050624847,-0.74699706,-0.008718255
31.9,,-0.996758222579956,-0.996758222579956,-0.7476459,-0.008651339
32,,-1.06969702243805,-1.06969702243805,-0.7482898,-0.008584938
32.1,,-1.05010831356049,-1.05010831356049,-0.7489287,-0.008519045
32.2,,-1.04531681537628,-1.04531681537628,-0.74956274,-0.008453659
32.3,,-1.04414474964142,-1.04414474964142,-0.7501919,-0.0083887745
32.4,,-1.08128809928894,-1.08128809928894,-0.7508162,-0.0083243875
32.5,,-1.05294358730316,-1.05294358730316,-0.75143576,-0.008260495
32.6,,-1.08344030380249,-1.08344030380249,-0.7520506,-0.008197092
32.7,,-1.05347001552582,-1.05347001552582,-0.75266063,-0.008134177
32.8,,-1.08356904983521,-1.08356904983521,-0.753266,-0.008071745
32.9,,-1.05350148677826,-1.05350148677826,-0.75386673,-0.008009791
33,,-1.08357679843903,-1.08357679843903,-0.75446284,-0.007948313
33.1,,-1.05350339412689,-1.05350339412689,-0.7550544,-0.007887308
33.2,,-1.04614734649658,-1.04614734649658,-0.7556414,-0.00782677
33.3,,-1.0443480014801,-1.0443480014801,-0.7562239,-0.007766696
33.4,,-1.08133780956268,-1.08133780956268,-0.75680196,-0.007707084
33.5,,-1.0529557466507,-1.0529557466507,-0.75737554,-0.0076479297
33.6,,-1.08344328403473,-1.08344328403473,-0.75794476,-0.007589229
33.7,,-1.05347073078156,-1.05347073078156,-0.7585096,-0.0075309793
33.8,,-1.08356928825378,-1.08356928825378,-0.75907004,-0.0074731763
33.9,,-1.05350160598755,-1.05350160598755,-0.7596262,-0.007415817
34,,-1.08357679843903,-1.08357679843903,-0.76017815,-0.007358898
34.1,,-1.05350339412689,-1.05350339412689,-0.76072586,-0.007302416
34.2,,-1.04614734649658,-1.04614734649658,-0.76126933,-0.0072463676
34.3,,-1.0817779302597,-1.0817779302597,-0.76180863,-0.007190749
34.4,,-1.05306339263916,-1.05306339263916,-0.76234376,-0.0071355575
34.5,,-1.08346962928772,-1.08346962928772,-0.76287484,-0.0070807897
34.6,,-1.05347716808319,-1.05347716808319,-0.7634018,-0.0070264423
34.7,,-0.135197430849075,-0.135197430849075,-0.7639248,-0.0069725118
34.8,,-0.821523725986481,-0.821523725986481,-0.7644437,-0.0069189956
34.9,,-1.02683353424072,-1.02683353424072,-0.7649586,-0.0068658898
35,,-1.03962361812592,-1.03962361812592,-0.7654696,-0.006813192
35.1,,-1.04275214672089,-1.04275214672089,-0.76597667,-0.006760898
35.2,,-1.0435174703598,-1.0435174703598,-0.76647985,-0.0067090057
35.3,,-1.08113467693329,-1.08113467693329,-0.76697916,-0.006657512
35.4,,-1.05290603637695,-1.05290603637695,-0.76747465,-0.006606413
35.5,,-1.08343112468719,-1.08343112468719,-0.76796633,-0.0065557067
35.6,,-1.05346775054932,-1.05346775054932,-0.76845425,-0.0065053897
35.7,,-1.08356857299805,-1.08356857299805,-0.7689384,-0.0064554582
35.8,,-1.05350136756897,-1.05350136756897,-0.76941884,-0.0064059105
35.9,,-1.08357679843903,-1.08357679843903,-0.7698956,-0.0063567427
36,,-1.05350339412689,-1.05350339412689,-0.7703687,-0.0063079526
36.1,,-1.04614734649658,-1.04614734649658,-0.77083814,-0.006259537
36.2,,-1.0443480014801,-1.0443480014801,-0.771304,-0.0062114927
36.3,,-1.08133780956268,-1.08133780956268,-0.7717663,-0.0061638174
36.4,,-1.0529557466507,-1.0529557466507,-0.772225,-0.006116508
36.5,,-1.08344328403473,-1.08344328403473,-0.7726803,-0.006069562
36.6,,-1.05347073078156,-1.05347073078156,-0.77313197,-0.006022976
36.7,,-1.08356928825378,-1.08356928825378,-0.77358025,-0.0059767473
36.8,,-1.05350160598755,-1.05350160598755,-0.7740251,-0.005930874
36.9,,-1.08357679843903,-1.08357679843903,-0.77446645,-0.0058853524
37,,-1.09093344211578,-1.09093344211578,-0.7749045,-0.0058401804
37.1,,-1.05530285835266,-1.05530285835266,-0.7753391,-0.005795355
37.2,,-1.0465874671936,-1.0465874671936,-0.7757704,-0.0057508736
37.3,,-1.04445552825928,-1.04445552825928,-0.77619845,-0.0057067336
37.4,,-1.08136415481567,-1.08136415481567,-0.7766232,-0.0056629325
37.5,,-1.05296218395233,-1.05296218395233,-0.7770446,-0.0056194672
37.6,,-1.08344483375549,-1.08344483375549,-0.77746284,-0.0055763363
37.7,,-0.105097815394402,-0.105097815394402,-0.77787787,-0.005533536
37.8,,-0.851591169834137,-0.851591169834137,-0.7782897,-0.005491064
37.9,,-0.996758222579956,-0.996758222579956,-0.7786984,-0.0054489183
38,,-1.06969702243805,-1.06969702243805,-0.7791039,-0.005407096
