time,ref,meas,u,Target
3.3,-0.078252204,0.851558268070221,0.851558268070221,-0.07168795
3.4,-0.07770931,0.024258509278298,0.024258509278298,-0.07751615
3.5,-0.077152826,-0.57048898935318,-0.57048898935318,-0.08330262
3.6,-0.07658596,-0.57150137424469,-0.57150137424469,-0.08904656
3.7,-0.07601213,-0.188814550638199,-0.188814550638199,-0.09474747
3.8,-0.075434476,-0.619173109531403,-0.619173109531403,-0.10040506
3.9,-0.07485573,-0.593946397304535,-0.593946397304535,-0.106019236
4,-0.07427806,0.941698431968689,0.941698431968689,-0.111590095
4.1,-0.07370309,-0.169799566268921,-0.169799566268921,-0.11711782
4.2,-0.073131956,-0.462619185447693,-0.462619185447693,-0.12260272
4.3,-0.0725654,-0.702791750431061,-0.702791750431061,-0.12804513
4.4,-0.07200381,-0.607452988624573,-0.607452988624573,-0.13344541
4.5,-0.071447365,-0.742148458957672,-0.742148458957672,-0.13880396
4.6,-0.07089606,-0.40881085395813,-0.40881085395813,-0.14412117
4.7,-0.070349805,-0.68817001581192,-0.68817001581192,-0.1493974
4.8,-0.06980843,0.465966641902924,0.465966641902924,-0.15463303
4.9,-0.06927178,-0.450460433959961,-0.450460433959961,-0.15982842
5,-0.06873967,-0.146707519888878,-0.146707519888878,-0.1649839
5.1,-0.06821193,-0.616946816444397,-0.616946816444397,-0.1700998
5.2,-0.06768844,-0.37478893995285,-0.37478893995285,-0.17517643
5.3,-0.06716908,-0.286747306585312,-0.286747306585312,-0.1802141
5.4,-0.06665375,-0.494398236274719,-0.494398236274719,-0.18521313
5.5,-0.066142395,0.358019173145294,0.358019173145294,-0.19017382
5.6,-0.065634936,-0.319191217422485,-0.319191217422485,-0.19509643
5.7,-0.06513135,-0.271639347076416,-0.271639347076416,-0.19998129
5.8,-0.06463159,-0.280956029891968,-0.280956029891968,-0.20482865
5.9,-0.064135626,-0.653427124023438,-0.653427124023438,-0.20963883
6,-0.06364344,-0.745425641536713,-0.745425641536713,-0.21441208
6.1,-0.063155,-0.628253936767578,-0.628253936767578,-0.21914871
6.2,-0.06267029,-0.738585114479065,-0.738585114479065,-0.22384898
6.3,-0.062189292,-0.626395106315613,-0.626395106315613,-0.22851318
6.4,-0.061711967,0.540703237056732,0.540703237056732,-0.23314157
6.5,-0.061238304,-0.278764873743057,-0.278764873743057,-0.23773445
6.6,-0.06076827,-0.643615961074829,-0.643615961074829,-0.24229208
6.7,-0.06030184,-0.208410769701004,-0.208410769701004,-0.24681471
6.8,-0.059838995,-0.624498128890991,-0.624498128890991,-0.25130263
6.9,-0.0593797,-0.595393419265747,-0.595393419265747,-0.2557561
7,-0.058923934,-0.520318925380707,-0.520318925380707,-0.2601754
7.1,-0.05847167,-0.567084074020386,-0.567084074020386,-0.2645608
7.2,-0.058022875,-0.721963047981262,-0.721963047981262,-0.2689125
7.3,-0.057577524,0.122556164860725,0.122556164860725,-0.27323082
7.4,-0.057135597,-0.209550112485886,-0.209550112485886,-0.27751598
7.5,-0.05669706,-0.807648599147797,-0.807648599147797,-0.28176826
7.6,-0.05626189,-0.252984523773193,-0.252984523773193,-0.2859879
7.7,-0.05583006,-0.819451332092285,-0.819451332092285,-0.29017517
7.8,-0.055401545,-0.79054057598114,-0.79054057598114,-0.29433027
7.9,-0.05497632,-0.640513300895691,-0.640513300895691,-0.2984535
8,-0.054554358,-0.59052962064743,-0.59052962064743,-0.30254507
8.1,-0.054135635,-0.34537211060524,-0.34537211060524,-0.30660525
8.2,-0.053720128,0.376276791095734,0.376276791095734,-0.31063426
8.3,-0.053307805,-0.25628000497818,-0.25628000497818,-0.31463233
8.4,-0.05289865,-0.646721720695496,-0.646721720695496,-0.31859973
8.5,-0.052492637,-0.592216670513153,-0.592216670513153,-0.32253668
8.6,-0.052089736,-0.738008201122284,-0.738008201122284,-0.3264434
8.7,-0.05168993,-0.617022633552551,-0.617022633552551,-0.33032015
8.8,-0.05129319,-0.918374001979828,-0.918374001979828,-0.33416715
8.9,-0.0508995,-0.283072739839554,-0.283072739839554,-0.33798462
9,-0.050508827,-0.827627420425415,-0.827627420425415,-0.34177276
9.1,-0.050121155,-0.258413523435593,-0.258413523435593,-0.34553185
9.2,-0.04973646,0.431360632181168,0.431360632181168,-0.3492621
9.3,-0.049354713,-0.633489310741425,-0.633489310741425,-0.3529637
9.4,-0.0489759,-0.414995789527893,-0.414995789527893,-0.35663688
9.5,-0.048599992,-0.863475799560547,-0.863475799560547,-0.36028188
9.6,-0.04822697,-0.419541716575623,-0.419541716575623,-0.3638989
9.7,-0.04785681,-0.713324308395386,-0.713324308395386,-0.36748818
9.8,-0.047489494,-0.552365183830261,-0.552365183830261,-0.37104988
9.9,-0.047124997,-0.936515867710114,-0.936515867710114,-0.37458426
10,-0.046763297,-0.461627721786499,-0.461627721786499,-0.3780915
10.1,-0.046404373,-1.38128280639648,-1.38128280639648,-0.38157183
10.2,-0.0460482,-0.408862292766571,-0.408862292766571,-0.38502544
10.3,-0.045694765,0.207637280225754,0.207637280225754,-0.38845256
10.4,-0.045344044,-0.302105635404587,-0.302105635404587,-0.39185336
10.5,-0.044996012,-0.659174263477325,-0.659174263477325,-0.39522806
10.6,-0.04465065,-0.595600485801697,-0.595600485801697,-0.39857686
10.7,-0.044307943,-0.912552833557129,-0.912552833557129,-0.40189996
10.8,-0.043967865,-0.490827739238739,-0.490827739238739,-0.40519756
10.9,-0.043630395,-0.884082198143005,-0.884082198143005,-0.40846983
11,-0.043295518,-0.598766446113586,-0.598766446113586,-0.411717
11.1,-0.04296321,-0.196223467588425,-0.196223467588425,-0.41493922
11.2,-0.04263345,-0.804027199745178,-0.804027199745178,-0.41813675
11.3,-0.042306226,-0.786349296569824,-0.786349296569824,-0.4213097
11.4,-0.04198151,0.278685212135315,0.278685212135315,-0.42445832
11.5,-0.041659288,-0.492136061191559,-0.492136061191559,-0.42758277
11.6,-0.04133954,-0.733050882816315,-0.733050882816315,-0.43068323
11.7,-0.041022245,-0.384100437164307,-0.384100437164307,-0.4337599
11.8,-0.040707383,-0.855080366134644,-0.855080366134644,-0.43681297
11.9,-0.04039494,-0.439498662948608,-0.439498662948608,-0.43984258
12,-0.040084895,-0.696509003639221,-0.696509003639221,-0.44284895
12.1,-0.03977723,-0.757132589817047,-0.757132589817047,-0.44583222
12.2,-0.039471924,-0.805060267448425,-0.805060267448425,-0.44879264
12.3,-0.039168965,-0.613004803657532,-0.613004803657532,-0.4517303
12.4,-0.03886833,-0.917282223701477,-0.917282223701477,-0.45464543
12.5,-0.03857,-0.456401228904724,-0.456401228904724,-0.4575382
12.6,-0.038273964,-0.701102077960968,-0.701102077960968,-0.46040872
12.7,-0.0379802,0.520402550697327,0.520402550697327,-0.46325725
12.8,-0.037688687,-0.457906484603882,-0.457906484603882,-0.46608388
12.9,-0.037399415,-0.51867026090622,-0.51867026090622,-0.46888885
13,-0.03711236,-0.89164799451828,-0.89164799451828,-0.47167227
13.1,-0.03682751,-0.658772230148315,-0.658772230148315,-0.47443435
13.2,-0.036544845,-1.0518923997879,-1.0518923997879,-0.4771752
13.3,-0.036264353,-0.644366681575775,-0.644366681575775,-0.47989503
13.4,-0.03598601,-0.925804376602173,-0.925804376602173,-0.48259398
13.5,-0.035709806,-0.436478734016418,-0.436478734016418,-0.4852722
13.6,-0.03543572,-0.717926740646362,-0.717926740646362,-0.48792988
13.7,-0.035163738,-0.553615808486939,-0.553615808486939,-0.49056718
13.8,-0.034893844,-0.785468876361847,-0.785468876361847,-0.4931842
13.9,-0.034626022,-0.571969509124756,-0.571969509124756,-0.49578115
14,-0.034360256,-0.046021856367588,-0.046021856367588,-0.4983582
14.1,-0.034096528,-0.341820776462555,-0.341820776462555,-0.5009154
14.2,-0.033834826,-1.13938999176025,-1.13938999176025,-0.503453
14.3,-0.033575132,-0.516756176948547,-0.516756176948547,-0.5059712
14.4,-0.03331743,-0.325325131416321,-0.325325131416321,-0.50847
14.5,-0.03306171,-0.839108943939209,-0.839108943939209,-0.5109496
14.6,-0.03280795,-0.586545526981354,-0.586545526981354,-0.5134102
14.7,-0.032556135,-0.736467123031616,-0.736467123031616,-0.5158519
14.8,-0.032306258,-0.767990708351135,-0.767990708351135,-0.5182749
14.9,-0.032058295,-0.808010876178741,-0.808010876178741,-0.52067924
15,-0.031812236,-0.909605205059052,-0.909605205059052,-0.52306515
15.1,-0.031568065,-1.29367816448212,-1.29367816448212,-0.52543277
15.2,-0.031325772,-0.558682024478912,-0.558682024478912,-0.5277822
15.3,-0.031085335,-0.728895604610443,-0.728895604610443,-0.5301136
15.4,-0.030846745,-0.405209571123123,-0.405209571123123,-0.53242713
15.5,-0.030609986,0.208629861474037,0.208629861474037,-0.53472286
15.6,-0.030375043,0.023176122456789,0.023176122456789,-0.537001
15.7,-0.030141905,-0.352230578660965,-0.352230578660965,-0.53926164
15.8,-0.029910555,-0.846420168876648,-0.846420168876648,-0.5415049
15.9,-0.02968098,-0.263520210981369,-0.263520210981369,-0.543731
16,-0.02945317,-0.430136650800705,-0.430136650800705,-0.54594
16.1,-0.029227106,-1.16338872909546,-1.16338872909546,-0.548132
16.2,-0.029002778,-0.501039206981659,-0.501039206981659,-0.5503072
16.3,-0.028780172,-0.886857032775879,-0.886857032775879,-0.55246574
16.4,-0.028559273,-0.448133587837219,-0.448133587837219,-0.5546077
16.5,-0.028340071,-0.698855459690094,-0.698855459690094,-0.5567332
16.6,-0.028122552,-0.548433423042297,-0.548433423042297,-0.55884236
16.7,-0.027906701,-0.899735808372498,-0.899735808372498,-0.5609354
16.8,-0.027692508,-0.42939493060112,-0.42939493060112,-0.5630123
16.9,-0.027479958,-0.716001808643341,-0.716001808643341,-0.5650733
17,-0.02726904,-0.55309271812439,-0.55309271812439,-0.5671185
17.1,-0.027059741,0.197658002376556,0.197658002376556,-0.569148
17.2,-0.026852047,-0.304817378520966,-0.304817378520966,-0.57116187
17.3,-0.02664595,-0.833536267280579,-0.833536267280579,-0.57316035
17.4,-0.026441433,-0.260019183158875,-0.260019183158875,-0.57514346
17.5,-0.026238486,-1.11716151237488,-1.11716151237488,-0.5771113
17.6,-0.026037095,-0.957901239395142,-0.957901239395142,-0.57906413
17.7,-0.025837252,-0.837378263473511,-0.837378263473511,-0.5810019
17.8,-0.025638942,-0.586075186729431,-0.586075186729431,-0.58292484
17.9,-0.025442155,-0.366399943828583,-0.366399943828583,-0.58483297
18,-0.025246877,-0.676645398139954,-0.676645398139954,-0.5867265
18.1,-0.025053099,-0.54239809513092,-0.54239809513092,-0.58860546
18.2,-0.024860807,-0.505918145179749,-0.505918145179749,-0.59047
18.3,-0.024669992,-0.563170790672302,-0.563170790672302,-0.59232026
18.4,-0.02448064,-0.511562824249268,-0.511562824249268,-0.5941563
18.5,-0.024292745,-0.889716625213623,-0.889716625213623,-0.5959783
18.6,-0.024106288,-0.571084022521973,-0.571084022521973,-0.59778625
18.7,-0.023921264,-0.905890762805939,-0.905890762805939,-0.59958035
18.8,-0.023737662,-0.604692578315735,-0.604692578315735,-0.6013607
18.9,-0.023555467,0.871612668037415,0.871612668037415,-0.60312736
19,-0.02337467,-0.513856410980225,-0.513856410980225,-0.60488045
19.1,-0.023195261,-0.793960809707642,-0.793960809707642,-0.6066201
19.2,-0.02301723,-0.792829573154449,-0.792829573154449,-0.6083464
19.3,-0.022840565,-0.573969662189484,-0.573969662189484,-0.61005944
19.4,-0.022665255,-0.906674921512604,-0.906674921512604,-0.6117593
19.5,-0.022491291,-0.431280553340912,-0.431280553340912,-0.6134462
19.6,-0.022318663,-0.324336498975754,-0.324336498975754,-0.61512005
19.7,-0.02214736,-0.838840305805206,-0.838840305805206,-0.6167811
19.8,-0.02197737,-0.412847340106964,-0.412847340106964,-0.6184294
19.9,-0.021808688,-0.862891972064972,-0.862891972064972,-0.6200651
20,-0.0216413,-0.737419903278351,-0.737419903278351,-0.6216882
20.1,-0.021475194,-1.0732638835907,-1.0732638835907,-0.6232988
20.2,-0.021310365,-0.650174140930176,-0.650174140930176,-0.62489706
20.3,-0.0211468,-0.927382528781891,-0.927382528781891,-0.6264831
20.4,-0.020984491,-0.436907589435577,-0.436907589435577,-0.62805694
20.5,-0.020823428,-0.869430065155029,-0.869430065155029,-0.6296187
20.6,-0.0206636,-0.59478485584259,-0.59478485584259,-0.6311685
