time,ref,meas,u,Target,error
7.6,,-0.938749372959137,-0.938749372959137,-0.2859879,-0.05626189
7.7,,-0.988226652145386,-0.988226652145386,-0.29017517,-0.05583006
7.8,,-1.00174975395203,-1.00174975395203,-0.29433027,-0.055401545
7.9,,-1.00544583797455,-1.00544583797455,-0.2984535,-0.05497632
8,,-1.0064560174942,-1.0064560174942,-0.30254507,-0.054554358
8.1,,-1.0067321062088,-1.0067321062088,-0.30660525,-0.054135635
8.2,,-1.00680756568909,-1.00680756568909,-0.31063426,-0.053720128
8.3,,-1.00682830810547,-1.00682830810547,-0.31463233,-0.053307805
8.4,,-1.00683391094208,-1.00683391094208,-0.31859973,-0.05289865
8.5,,-1.00683546066284,-1.00683546066284,-0.32253668,-0.052492637
8.6,,-1.00683581829071,-1.00683581829071,-0.3264434,-0.052089736
8.7,,-1.0068359375,-1.0068359375,-0.33032015,-0.05168993
8.8,,-1.0068359375,-1.0068359375,-0.33416715,-0.05129319
8.9,,-1.0068359375,-1.0068359375,-0.33798462,-0.0508995
9,,-1.0068359375,-1.0068359375,-0.34177276,-0.050508827
9.1,,-1.0068359375,-1.0068359375,-0.34553185,-0.050121155
9.2,,-1.0068359375,-1.0068359375,-0.3492621,-0.04973646
9.3,,-1.0068359375,-1.0068359375,-0.3529637,-0.049354713
9.4,,-1.0068359375,-1.0068359375,-0.35663688,-0.0489759
9.5,,-1.0068359375,-1.0068359375,-0.36028188,-0.048599992
9.6,,-1.0068359375,-1.0068359375,-0.3638989,-0.04822697
9.7,,-1.0068359375,-1.0068359375,-0.36748818,-0.04785681
9.8,,-1.0068359375,-1.0068359375,-0.37104988,-0.047489494
9.9,,-1.0068359375,-1.0068359375,-0.37458426,-0.047124997
10,,-1.0068359375,-1.0068359375,-0.3780915,-0.046763297
10.1,,-1.0068359375,-1.0068359375,-0.38157183,-0.046404373
10.2,,-1.0068359375,-1.0068359375,-0.38502544,-0.0460482
10.3,,-1.0068359375,-1.0068359375,-0.38845256,-0.045694765
