time,ref,meas,u,target_h,error,Target
0.0,,0.5604941844940186,0.5604941844940186,,0.0,0.0
0.1,,1.50816810131073,1.50816810131073,,0.36407214,0.02730541
0.2,,1.8296079635620117,1.8296079635620117,,0.32907653,0.05198615
0.30000000000000004,,1.8567664623260498,1.8567664623260498,,0.2663363,0.07196137
0.4,,1.8648104667663574,1.8648104667663574,,0.19302359,0.08643814
0.5,,1.6584320068359375,1.6584320068359375,,0.12055388,0.09547968
0.6000000000000001,,1.719933271408081,1.719933271408081,,0.055746526,0.09966067
0.7000000000000001,,1.7938752174377441,1.7938752174377441,,0.0019755159,0.099808834
0.8,,1.8810529708862305,1.8810529708862305,,-0.03979807,0.09682398
0.9,,2.627734422683716,2.627734422683716,,-0.070166,0.09156153
1.0,,2.1553173065185547,2.1553173065185547,,-0.09060111,0.08476645
1.1,,2.372415065765381,2.372415065765381,,-0.10296507,0.07704407
1.2000000000000002,,2.046520233154297,2.046520233154297,,-0.109172724,0.06885611
1.3,,2.9072561264038086,2.9072561264038086,,-0.11098394,0.060532317
1.4000000000000001,,1.5086796283721924,1.5086796283721924,,-0.10989294,0.052290346
1.5,,1.1217365264892578,1.1217365264892578,,-0.10708729,0.0442588
1.6,,1.4246166944503784,1.4246166944503784,,-0.1034531,0.036499817
1.7000000000000002,,0.8059043884277344,0.8059043884277344,,-0.09960762,0.029029246
1.8,,1.8443546295166016,1.8443546295166016,,-0.095945194,0.021833356
1.9000000000000001,,0.5264507532119751,0.5264507532119751,,-0.0926869,0.014881839
2.0,,0.80352783203125,0.80352783203125,,-0.08992739,0.008137285
2.1,,1.122451663017273,1.122451663017273,,-0.08767566,0.00156161
2.2,,1.4091713428497314,1.4091713428497314,,-0.08588801,-0.0048799906
2.3000000000000003,,0.3338010311126709,0.3338010311126709,,-0.08449316,-0.011216978
2.4000000000000004,,0.5257718563079834,0.5257718563079834,,-0.08341011,-0.017472737
2.5,,0.05369114875793457,0.05369114875793457,,-0.082559876,-0.023664726
2.6,,0.39986085891723633,0.39986085891723633,,-0.08187244,-0.02980516
2.7,,0.5453375577926636,0.5453375577926636,,-0.08129003,-0.03590191
2.8000000000000003,,0.04951255023479462,0.04951255023479462,,-0.0807679,-0.041959506
2.9000000000000004,,-0.5421178936958313,-0.5421178936958313,,-0.080273576,-0.04798002
3.0,,0.25068315863609314,0.25068315863609314,,-0.07978517,-0.05396391
3.1,,-0.5009976029396057,-0.5009976029396057,,-0.0792893,-0.059910607
3.2,,-1.416394591331482,-1.416394591331482,,-0.078779094,-0.06581904
3.3000000000000003,,-1.196989893913269,-1.196989893913269,,-0.078252204,-0.07168795
3.4000000000000004,,-1.1934163570404053,-1.1934163570404053,,-0.07770931,-0.07751615
3.5,,-1.621476650238037,-1.621476650238037,,-0.077152826,-0.08330262
3.6,,-1.247757911682129,-1.247757911682129,,-0.07658596,-0.08904656
3.7,,-1.6759816408157349,-1.6759816408157349,,-0.07601213,-0.09474747
3.8000000000000003,,-1.3625752925872803,-1.3625752925872803,,-0.075434476,-0.10040506
3.9000000000000004,,-1.2268025875091553,-1.2268025875091553,,-0.07485573,-0.106019236
4.0,,-1.6598014831542969,-1.6598014831542969,,-0.07427806,-0.111590095
4.1000000000000005,,-2.0067825317382812,-2.0067825317382812,,-0.07370309,-0.11711782
4.2,,-0.9700236320495605,-0.9700236320495605,,-0.073131956,-0.12260272
4.3,,-1.5837482213974,-1.5837482213974,,-0.0725654,-0.12804513
4.4,,-1.7928125858306885,-1.7928125858306885,,-0.07200381,-0.13344541
4.5,,-1.36420476436615,-1.36420476436615,,-0.071447365,-0.13880396
4.6000000000000005,,-1.4343866109848022,-1.4343866109848022,,-0.07089606,-0.14412117
4.7,,-1.7485742568969727,-1.7485742568969727,,-0.070349805,-0.1493974
4.800000000000001,,-1.3411285877227783,-1.3411285877227783,,-0.06980843,-0.15463303
4.9,,-1.7036364078521729,-1.7036364078521729,,-0.06927178,-0.15982842
5.0,,-1.3707661628723145,-1.3707661628723145,,-0.06873967,-0.1649839
5.1000000000000005,,-1.4106991291046143,-1.4106991291046143,,-0.06821193,-0.1700998
5.2,,-1.714268445968628,-1.714268445968628,,-0.06768844,-0.17517643
5.300000000000001,,-1.8414438962936401,-1.8414438962936401,,-0.06716908,-0.1802141
5.4,,-0.9210532903671265,-0.9210532903671265,,-0.06665375,-0.18521313
5.5,,-1.569244146347046,-1.569244146347046,,-0.066142395,-0.19017382
5.6000000000000005,,-1.7885167598724365,-1.7885167598724365,,-0.065634936,-0.19509643
5.7,,-1.3629324436187744,-1.3629324436187744,,-0.06513135,-0.19998129
5.800000000000001,,-1.2525391578674316,-1.2525391578674316,,-0.06463159,-0.20482865
5.9,,-1.6947143077850342,-1.6947143077850342,,-0.064135626,-0.20963883
6.0,,-1.3251762390136719,-1.3251762390136719,,-0.06364344,-0.21441208
6.1000000000000005,,-1.6989115476608276,-1.6989115476608276,,-0.063155,-0.21914871
6.2,,-1.3693667650222778,-1.3693667650222778,,-0.06267029,-0.22384898
6.300000000000001,,-1.2288141250610352,-1.2288141250610352,,-0.062189292,-0.22851318
6.4,,-1.6603972911834717,-1.6603972911834717,,-0.061711967,-0.23314157
6.5,,-1.8254883289337158,-1.8254883289337158,,-0.061238304,-0.23773445
6.6000000000000005,,-0.9163274765014648,-0.9163274765014648,,-0.06076827,-0.24229208
6.7,,-1.5678443908691406,-1.5678443908691406,,-0.06030184,-0.24681471
6.800000000000001,,-1.788102149963379,-1.788102149963379,,-0.059838995,-0.25130263
6.9,,-1.362809658050537,-1.362809658050537,,-0.0593797,-0.2557561
7.0,,-1.2525027990341187,-1.2525027990341187,,-0.058923934,-0.2601754
7.1000000000000005,,-1.6947035789489746,-1.6947035789489746,,-0.05847167,-0.2645608
7.2,,-1.3351466655731201,-1.3351466655731201,,-0.058022875,-0.2689125
7.300000000000001,,-1.7018646001815796,-1.7018646001815796,,-0.057577524,-0.27323082
7.4,,-1.370241403579712,-1.370241403579712,,-0.057135597,-0.27751598
7.5,,-1.2390468120574951,-1.2390468120574951,,-0.05669706,-0.28176826
7.6000000000000005,,-1.6734015941619873,-1.6734015941619873,,-0.05626189,-0.2859879
7.7,,-1.829339861869812,-1.829339861869812,,-0.05583006,-0.29017517
7.800000000000001,,-0.9174683094024658,-0.9174683094024658,,-0.055401545,-0.29433027
7.9,,-1.578155755996704,-1.578155755996704,,-0.05497632,-0.2984535
8.0,,-1.9726266860961914,-1.9726266860961914,,-0.054554358,-0.30254507
8.1,,-1.4174624681472778,-1.4174624681472778,,-0.054135635,-0.30660525
8.200000000000001,,-1.2686899900436401,-1.2686899900436401,,-0.053720128,-0.31063426
8.3,,-1.709471583366394,-1.709471583366394,,-0.053307805,-0.31463233
8.4,,-1.3395206928253174,-1.3395206928253174,,-0.05289865,-0.31859973
8.5,,-1.8846306800842285,-1.8846306800842285,,-0.052492637,-0.32253668
8.6,,-1.4243733882904053,-1.4243733882904053,,-0.052089736,-0.3264434
8.700000000000001,,-1.4365501403808594,-1.4365501403808594,,-0.05168993,-0.33032015
8.8,,-1.731898546218872,-1.731898546218872,,-0.05129319,-0.33416715
8.9,,-1.846665620803833,-1.846665620803833,,-0.0508995,-0.33798462
9.0,,-0.9225999116897583,-0.9225999116897583,,-0.050508827,-0.34177276
9.1,,-1.5796756744384766,-1.5796756744384766,,-0.050121155,-0.34553185
9.200000000000001,,-1.9730768203735352,-1.9730768203735352,,-0.04973646,-0.3492621
9.3,,-1.4175958633422852,-1.4175958633422852,,-0.049354713,-0.3529637
9.4,,-1.1798267364501953,-1.1798267364501953,,-0.0489759,-0.35663688
9.5,,-1.6831519603729248,-1.6831519603729248,,-0.048599992,-0.36028188
9.600000000000001,,-1.3317252397537231,-1.3317252397537231,,-0.04822697,-0.3638989
9.700000000000001,,-1.7008512020111084,-1.7008512020111084,,-0.04785681,-0.36748818
9.8,,-1.369941234588623,-1.369941234588623,,-0.047489494,-0.37104988
9.9,,-1.2389578819274902,-1.2389578819274902,,-0.047124997,-0.37458426
10.0,,-1.6733752489089966,-1.6733752489089966,,-0.046763297,-0.3780915
10.100000000000001,,-1.740429401397705,-1.740429401397705,,-0.046404373,-0.38157183
10.200000000000001,,-0.8911346197128296,-0.8911346197128296,,-0.0460482,-0.38502544
10.3,,-1.5703562498092651,-1.5703562498092651,,-0.045694765,-0.38845256
10.4,,-1.7888460159301758,-1.7888460159301758,,-0.045344044,-0.39185336
10.5,,-1.363029956817627,-1.363029956817627,,-0.044996012,-0.39522806
10.600000000000001,,-1.1636652946472168,-1.1636652946472168,,-0.04465065,-0.39857686
10.700000000000001,,-1.6783652305603027,-1.6783652305603027,,-0.044307943,-0.40189996
10.8,,-1.3303074836730957,-1.3303074836730957,,-0.043967865,-0.40519756
10.9,,-1.7004313468933105,-1.7004313468933105,,-0.043630395,-0.40846983
11.0,,-1.3698168992996216,-1.3698168992996216,,-0.043295518,-0.411717
11.100000000000001,,-1.6232304573059082,-1.6232304573059082,,-0.04296321,-0.41493922
11.200000000000001,,-1.4954479932785034,-1.4954479932785034,,-0.04263345,-0.41813675
11.3,,-1.7766332626342773,-1.7766332626342773,,-0.042306226,-0.4213097
11.4,,-1.3750698566436768,-1.3750698566436768,,-0.04198151,-0.42445832
11.5,,-1.2404768466949463,-1.2404768466949463,,-0.041659288,-0.42758277
11.600000000000001,,-1.6022390127182007,-1.6022390127182007,,-0.04133954,-0.43068323
11.700000000000001,,-1.9624431133270264,-1.9624431133270264,,-0.041022245,-0.4337599
11.8,,-1.4301035404205322,-1.4301035404205322,,-0.040707383,-0.43681297
11.9,,-1.3766347169876099,-1.3766347169876099,,-0.04039494,-0.43984258
12.0,,-1.7141526937484741,-1.7141526937484741,,-0.040084895,-0.44284895
12.100000000000001,,-1.9955899715423584,-1.9955899715423584,,-0.03977723,-0.44583222
12.200000000000001,,-1.3683347702026367,-1.3683347702026367,,-0.039471924,-0.44879264
12.3,,-1.2384819984436035,-1.2384819984436035,,-0.039168965,-0.4517303
