time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u,snn_p,snn_i,snn_d,snn_pd,snn_pid
1079.5,0.0,0.699999988079071,-0.0099999904632568,-0.0899999141693111,0.0,0.0,-0.0899999141693111,-0.0899999141693111,0.0,0.0,0.0,0.0,0.0
1079.6,0.0,0.699999988079071,-0.0099999904632568,-0.0899999141693111,-9.999990463258057e-05,0.0,-0.0899999141693111,-0.09009991407394367,0.0,0.0,0.0,0.0,0.0
1079.7,0.0,0.699999988079071,-0.0099999904632568,-0.0899999141693111,-0.0001999998092651889,0.0,-0.0899999141693111,-0.09019991397857628,0.0,0.0,0.0,0.0,0.0
1079.8,0.0,0.699999988079071,-0.0099999904632568,-0.0899999141693111,-0.0002999997138976862,0.0,-0.0899999141693111,-0.09029991388320878,0.0,0.0,0.0,0.0,0.0
1079.9,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.0005000001192092818,-0.7000035047531119,-0.8800038695335374,-0.8805038696527467,0.0,0.0,0.0,0.0,0.0
1080.0,0.0,0.699999988079071,-0.0099999904632568,-0.0899999141693111,-0.0006000000238418901,0.0,-0.0899999141693111,-0.09059991419315298,0.0,0.0,0.0,0.0,0.0
1080.1,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.0008000004291534024,0.0,-0.1800003647804255,-0.1808003652095789,0.0,0.0,0.0,0.0,0.0
1080.2,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.001000000834464998,-0.7000035047531119,-0.8800038695335374,-0.8810038703680024,0.0,0.0,0.0,0.0,0.0
1080.3,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.0012000012397765936,0.0,-0.1800003647804255,-0.1812003660202021,0.0,0.0,0.0,0.0,0.0
1080.4,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.0014000016450881891,0.0,-0.1800003647804255,-0.1814003664255137,0.0,0.0,0.0,0.0,0.0
1080.5,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.0016000020503997847,0.0,-0.1800003647804255,-0.18160036683082528,0.0,0.0,0.0,0.0,0.0
1080.6,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.0018000024557113803,0.0,-0.1800003647804255,-0.18180036723613688,0.0,0.0,0.0,0.0,0.0
1080.7,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.0020000028610230036,0.0,-0.1800003647804255,-0.1820003676414485,0.0,0.0,0.0,0.0,0.0
1080.8,0.0,0.699999988079071,-0.0300000309944152,-0.2700002789497367,-0.0023000031709670965,-0.6999993324279761,-0.9699996113777127,-0.9722996145486799,0.0,0.0,0.0,0.0,0.0
1080.9,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.002500003576278692,0.0,-0.1800003647804255,-0.1825003683567042,0.0,0.0,0.0,0.0,0.0
1081.0,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.0027000039815902876,0.6999993324279761,0.5199989676475506,0.5172989636659603,0.0,0.0,0.0,0.0,0.0
1081.1,0.0,0.699999988079071,-0.0300000309944152,-0.2700002789497367,-0.0030000042915343805,-0.6999993324279761,-0.9699996113777127,-0.9729996156692472,0.0,0.0,0.0,0.0,0.0
1081.2,0.0,0.699999988079071,-0.0300000309944152,-0.2700002789497367,-0.0033000046014785844,-0.6999993324279761,-0.9699996113777127,-0.9732996159791913,0.0,0.0,0.0,0.0,0.0
1081.3,0.0,0.699999988079071,-0.0300000309944152,-0.2700002789497367,-0.0036000049114226773,0.0,-0.2700002789497367,-0.2736002838611594,0.0,0.0,0.0,0.0,0.0
1081.4,0.0,0.699999988079071,-0.0300000309944152,-0.2700002789497367,-0.003900005221366881,0.0,-0.2700002789497367,-0.27390028417110357,0.0,0.0,0.0,0.0,0.0
1081.5,0.0,0.699999988079071,-0.0300000309944152,-0.2700002789497367,-0.004200005531311002,0.0,-0.2700002789497367,-0.2742002844810477,0.0,0.0,0.0,0.0,0.0
1081.6,0.0,0.699999988079071,-0.0300000309944152,-0.2700002789497367,-0.004500005841255178,0.0,-0.2700002789497367,-0.27450028479099187,0.0,0.0,0.0,0.0,0.0
1081.7,0.0,0.699999988079071,-0.0200000405311584,-0.1800003647804255,-0.004700006246566801,0.6999993324279761,0.5199989676475506,0.5152989614009837,0.0,0.0,0.0,0.0,0.0
