time,ref,meas,u,target_h
0.0,0.0,-0.00019999999494757503,0.0,0.0
0.01,0.95603424,-0.0005964264273643494,0.03573505952954292,0.0
0.02,0.95603424,-0.0011757591273635626,0.170937180519104,0.00028681027
0.03,0.95603424,-0.0019189201993867755,0.3617170453071594,0.0008517405
0.04,0.95603424,-0.0027879897970706224,0.7409155368804932,0.0016862776
0.05,0.95603424,-0.0037382999435067177,1.1875938177108765,0.002782083
0.06,0.95603424,-0.004741501994431019,1.4710791110992432,0.00413099
0.07,0.95603424,-0.005762204527854919,1.8249945640563965,0.0057250005
0.08,0.95603424,-0.006769322790205479,2.135847568511963,0.0075562834
0.09,0.95603424,-0.007738775573670864,2.376652956008911,0.009617171
0.1,0.95603424,-0.008645890280604362,2.6233768463134766,0.011900158
0.11,0.95603424,-0.009469022043049335,2.8398349285125732,0.014397895
0.12,0.95603424,-0.010185642167925835,3.0651161670684814,0.017103191
0.13,0.95603424,-0.010779290460050106,3.2297134399414062,0.020009007
0.14,0.95603424,-0.011232090182602406,3.4084861278533936,0.023108456
0.15,0.95603424,-0.011528296396136284,3.5659329891204834,0.026394801
0.16,0.95603424,-0.01165742427110672,3.670787811279297,0.029861446
0.17,0.95603424,-0.011610238812863827,3.763134479522705,0.03350194
0.18,0.95603424,-0.011375226080417633,3.8782753944396973,0.037309986
0.19,0.95603424,-0.010942244902253151,3.9796810150146484,0.041279405
0.2,0.95603424,-0.010309210047125816,4.000535488128662,0.045404166
0.21,0.95603424,-0.009470820426940918,4.05354642868042,0.049678374
0.22,0.95603424,-0.008419026620686054,4.134044170379639,0.054096263
0.23,0.95603424,-0.007150203455239534,4.170295238494873,0.0586522
0.24,0.95603424,-0.0056610750034451485,4.2030558586120605,0.06334067
0.25,0.95603424,-0.003945374395698309,4.265718460083008,0.068156295
0.26,0.95603424,-0.0020010476000607014,4.286262035369873,0.07309381
0.27,0.95603424,0.00017036916688084602,4.270900726318359,0.07814809
0.28,0.95603424,0.0025640586391091347,4.2227277755737305,0.0833141
0.29,0.95603424,0.005182623863220215,4.24875545501709,0.08858695
0.3,0.95603424,0.008024892769753933,4.237034320831299,0.09396185
0.31,0.95603424,0.011089915409684181,4.227545261383057,0.09943412
0.32,0.95603424,0.01437334530055523,4.184065818786621,0.10499921
0.33,0.95603424,0.01787475124001503,4.179757118225098,0.11065265
0.34,0.95603424,0.021593783050775528,4.176266670227051,0.1163901
0.35000000000000003,0.95603424,0.025530217215418816,4.1740264892578125,0.12220732
0.36,0.95603424,0.029683774337172508,4.171219825744629,0.12810017
0.37,0.95603424,0.03405420482158661,4.168747901916504,0.13406463
0.38,0.95603424,0.03864137828350067,4.167404651641846,0.14009674
0.39,0.95603424,0.043441593647003174,4.130439281463623,0.14619265
0.4,0.95603424,0.048455093055963516,4.132832050323486,0.15234865
0.41000000000000003,0.95603424,0.05368217080831528,4.135773181915283,0.15856108
0.42,0.95603424,0.0591195710003376,4.103241443634033,0.16482638
0.43,0.95603424,0.06476785987615585,4.1088786125183105,0.17114107
0.44,0.95603424,0.07062415033578873,4.080033302307129,0.1775018
0.45,0.95603424,0.07668578624725342,4.053490161895752,0.18390526
0.46,0.95603424,0.08295739442110062,4.099706172943115,0.19034825
0.47000000000000003,0.95603424,0.08943620324134827,4.071954727172852,0.19682768
0.48,0.95603424,0.09612314403057098,4.081324100494385,0.20334047
0.49,0.95603424,0.10301903635263443,4.08957576751709,0.20988369
0.5,0.95603424,0.1101212352514267,4.063033103942871,0.21645445
0.51,0.95603424,0.11743078380823135,4.073466777801514,0.22304997
0.52,0.95603424,0.12494859099388123,4.082655906677246,0.22966751
0.53,0.95603424,0.13267210125923157,4.056938648223877,0.23630445
0.54,0.95603424,0.1405988335609436,4.032314777374268,0.24295819
0.55,0.95603424,0.14872312545776367,3.9755699634552,0.24962623
0.56,0.95603424,0.15704010426998138,3.9268414974212646,0.25630617
0.5700000000000001,0.95603424,0.1655452698469162,3.8819518089294434,0.26299563
0.58,0.95603424,0.1742313802242279,3.809333324432373,0.2696923
0.59,0.95603424,0.18309533596038818,3.778461456298828,0.27639398
0.6,0.95603424,0.19212733209133148,3.680428981781006,0.28309852
0.61,0.95603424,0.20132243633270264,3.6311237812042236,0.28980377
0.62,0.95603424,0.2106761932373047,3.5865557193756104,0.29650778
0.63,0.95603424,0.22017771005630493,3.4776058197021484,0.30320847
0.64,0.95603424,0.2298278659582138,3.4863057136535645,0.30990404
0.65,0.95603424,0.23962053656578064,3.4250998497009277,0.31659254
0.66,0.95603424,0.24954655766487122,3.333538770675659,0.32327226
0.67,0.95603424,0.25960513949394226,3.3256139755249023,0.3299414
0.68,0.95603424,0.2697926461696625,3.289249897003174,0.33659828
0.6900000000000001,0.95603424,0.28010210394859314,3.21956729888916,0.34324127
0.7000000000000001,0.95603424,0.29052701592445374,3.1544454097747803,0.34986883
0.71,0.95603424,0.3010580539703369,3.0613605976104736,0.3564794
0.72,0.95603424,0.31169116497039795,3.020784378051758,0.36307156
0.73,0.95603424,0.3224192261695862,2.94931697845459,0.3696438
0.74,0.95603424,0.33323949575424194,2.9221065044403076,0.3761948
0.75,0.95603424,0.34414243698120117,2.8266751766204834,0.38272324
0.76,0.95603424,0.3551226258277893,2.772740125656128,0.3892278
0.77,0.95603424,0.36617591977119446,2.7308619022369385,0.39570728
0.78,0.95603424,0.3773021697998047,2.729710817337036,0.40216047
0.79,0.95603424,0.3884941637516022,2.6572303771972656,0.4085862
0.8,0.95603424,0.3997490704059601,2.6291816234588623,0.41498342
0.81,0.95603424,0.41105735301971436,2.5337448120117188,0.42135105
0.8200000000000001,0.95603424,0.4224105477333069,2.449152708053589,0.42768803
0.8300000000000001,0.95603424,0.4337906837463379,2.2694365978240967,0.43399343
0.84,0.95603424,0.44518887996673584,2.1806387901306152,0.44026625
0.85,0.95603424,0.4565903842449188,2.0329537391662598,0.44650564
0.86,0.95603424,0.4679892063140869,1.973399043083191,0.4527107
0.87,0.95603424,0.47936952114105225,1.8147004842758179,0.4588806
0.88,0.95603424,0.49072083830833435,1.710036277770996,0.46501455
0.89,0.95603424,0.5020304322242737,1.5827542543411255,0.47111177
0.9,0.95603424,0.5132871270179749,1.4708101749420166,0.47717157
0.91,0.95603424,0.5244879722595215,1.4416106939315796,0.48319325
0.92,0.95603424,0.5356234312057495,1.3465957641601562,0.4891761
0.93,0.95603424,0.5466887354850769,1.298290729522705,0.49511954
0.9400000000000001,0.95603424,0.5576758980751038,1.2184683084487915,0.50102293
0.9500000000000001,0.95603424,0.5685780644416809,1.1498253345489502,0.50688577
0.96,0.95603424,0.5793891549110413,1.0895252227783203,0.5127074
0.97,0.95603424,0.5901108384132385,1.1058090925216675,0.51848745
0.98,0.95603424,0.6007340550422668,1.0151375532150269,0.52422535
0.99,0.95603424,0.6112508177757263,0.9358012080192566,0.52992064
1.0,0.95603424,0.621671736240387,1.0412402153015137,0.5355729
1.01,0.95603424,0.6319955587387085,1.029473900794983,0.54118174
1.02,0.95603424,0.6422105431556702,0.9113532900810242,0.54674673
1.03,0.95603424,0.6523205041885376,0.9496776461601257,0.5522676
1.04,0.95603424,0.6623145341873169,0.840771496295929,0.55774397
1.05,0.95603424,0.6721866726875305,0.7814244627952576,0.5631755
1.06,0.95603424,0.6819247007369995,0.6586655378341675,0.568562
1.07,0.95603424,0.6915247440338135,0.6202366948127747,0.57390314
1.08,0.95603424,0.7009869813919067,0.6219798922538757,0.57919866
1.09,0.95603424,0.7103010416030884,0.5183484554290771,0.58444834
1.1,0.95603424,0.719458818435669,0.4371756315231323,0.58965206
1.11,0.95603424,0.7284635901451111,0.469934344291687,0.59480953
1.12,0.95603424,0.7373078465461731,0.394683301448822,0.5999207
1.1300000000000001,0.95603424,0.7459920644760132,0.3997708857059479,0.6049853
1.1400000000000001,0.95603424,0.7545059323310852,0.2962706387042999,0.61000335
1.1500000000000001,0.95603424,0.7628475427627563,0.2773835361003876,0.6149746
1.16,0.95603424,0.7710150480270386,0.25891202688217163,0.6198991
1.17,0.95603424,0.7790104746818542,0.2791256606578827,0.62477666
1.18,0.95603424,0.7868285775184631,0.22658178210258484,0.62960726
1.19,0.95603424,0.7944717407226562,0.25094279646873474,0.6343909
1.2,0.95603424,0.8019315004348755,0.16604655981063843,0.63912755
1.21,0.95603424,0.8092144131660461,0.23114825785160065,0.6438171
1.22,0.95603424,0.8163086175918579,0.11311878263950348,0.6484597
1.23,0.95603424,0.8232178688049316,0.15072406828403473,0.65305525
1.24,0.95603424,0.8299384713172913,0.11349719762802124,0.6576038
1.25,0.95603424,0.8364706635475159,0.1155628189444542,0.6621055
1.26,0.95603424,0.8428075313568115,0.04681604355573654,0.6665603
1.27,0.95603424,0.8489536046981812,0.09233057498931885,0.67096823
1.28,0.95603424,0.8549057245254517,0.0604560524225235,0.6753295
