time,ref,meas,u,target_h
0.0,0.1,0.0275929756462574,0.0275929756462574,0.0
0.01,0.1,0.16357901692390442,0.16357901692390442,0.0
0.02,0.1,0.3604350984096527,0.3604350984096527,0.00028681027
0.03,0.1,0.7370187640190125,0.7370187640190125,0.0008517405
0.04,0.1,0.9079936742782593,0.9079936742782593,0.0016862776
0.05,0.1,1.2355350255966187,1.2355350255966187,0.002782083
0.06,0.1,1.5005428791046143,1.5005428791046143,0.00413099
0.07,0.1,1.6326743364334106,1.6326743364334106,0.0057250005
0.08,0.1,1.772407054901123,1.772407054901123,0.0075562834
0.09,0.1,1.9715365171432495,1.9715365171432495,0.009617171
0.1,0.1,1.9613409042358398,1.9613409042358398,0.011900158
0.11,0.1,2.1293044090270996,2.1293044090270996,0.014397895
0.12,0.1,2.185438632965088,2.185438632965088,0.017103191
0.13,0.1,2.2845444679260254,2.2845444679260254,0.020009007
0.14,0.1,2.3094394207000732,2.3094394207000732,0.023108456
0.15,0.1,2.4148917198181152,2.4148917198181152,0.026394801
0.16,0.1,2.3168208599090576,2.3168208599090576,0.029861446
0.17,0.1,2.4733877182006836,2.4733877182006836,0.03350194
0.18,0.1,2.351741075515747,2.351741075515747,0.037309986
0.19,0.1,2.3303847312927246,2.3303847312927246,0.041279405
0.2,0.1,2.3485991954803467,2.3485991954803467,0.045404166
0.21,0.1,2.412531852722168,2.412531852722168,0.049678374
0.22,0.1,2.312771797180176,2.312771797180176,0.054096263
0.23,0.1,2.37023663520813,2.37023663520813,0.0586522
0.24,0.1,2.2785515785217285,2.2785515785217285,0.06334067
0.25,0.1,2.3654613494873047,2.3654613494873047,0.068156295
0.26,0.1,2.277829647064209,2.277829647064209,0.07309381
0.27,0.1,2.318230390548706,2.318230390548706,0.07814809
0.28,0.1,2.2280962467193604,2.2280962467193604,0.0833141
0.29,0.1,2.327536106109619,2.327536106109619,0.08858695
0.3,0.1,2.2552554607391357,2.2552554607391357,0.09396185
0.31,0.1,2.245346784591675,2.245346784591675,0.09943412
0.32,0.1,2.2059967517852783,2.2059967517852783,0.10499921
0.33,0.1,2.3189096450805664,2.3189096450805664,0.11065265
0.34,0.1,2.1626036167144775,2.1626036167144775,0.1163901
0.35000000000000003,0.1,2.2378854751586914,2.2378854751586914,0.12220732
0.36,0.1,2.2102718353271484,2.2102718353271484,0.12810017
0.37,0.1,2.271724224090576,2.271724224090576,0.13406463
0.38,0.1,2.161118984222412,2.161118984222412,0.14009674
0.39,0.1,2.2815234661102295,2.2815234661102295,0.14619265
0.4,0.1,2.1636836528778076,2.1636836528778076,0.15234865
0.41000000000000003,0.1,2.2203636169433594,2.2203636169433594,0.15856108
0.42,0.1,2.1948938369750977,2.1948938369750977,0.16482638
0.43,0.1,2.1921470165252686,2.1921470165252686,0.17114107
0.44,0.1,2.1911699771881104,2.1911699771881104,0.1775018
0.45,0.1,2.2737812995910645,2.2737812995910645,0.18390526
0.46,0.1,2.1228296756744385,2.1228296756744385,0.19034825
0.47000000000000003,0.1,2.234891653060913,2.234891653060913,0.19682768
0.48,0.1,2.175572156906128,2.175572156906128,0.20334047
0.49,0.1,2.2070465087890625,2.2070465087890625,0.20988369
0.5,0.1,2.170271396636963,2.170271396636963,0.21645445
0.51,0.1,2.22343373298645,2.22343373298645,0.22304997
0.52,0.1,2.1124861240386963,2.1124861240386963,0.22966751
0.53,0.1,2.257704019546509,2.257704019546509,0.23630445
