time,dcmotor,h_ref,h_meas,error
0.0,10.0,0.800000011920929,0.05000000074505806,0.7500000111758709
0.20500493049621582,5.147200107574463,0.800000011920929,0.03999999910593033,0.7600000128149986
0.39860010147094727,4.619999885559082,0.800000011920929,0.03999999910593033,0.7600000128149986
0.6005256175994873,4.03249979019165,0.800000011920929,0.03999999910593033,0.7600000128149986
0.806232213973999,3.9947001934051514,0.800000011920929,0.05999999865889549,0.7400000132620335
1.0099799633026123,3.9565999507904053,0.800000011920929,0.07000000029802322,0.7300000116229057
1.220768928527832,2.0873000621795654,0.800000011920929,0.10999999940395355,0.6900000125169754
1.4219560623168945,0.6461999416351318,0.800000011920929,0.17000000178813934,0.6300000101327896
1.5975978374481201,0.9136002659797668,0.800000011920929,0.1899999976158142,0.6100000143051147
1.7976765632629395,1.2398005723953247,0.800000011920929,0.25999999046325684,0.5400000214576721
1.9995458126068115,0.4044994115829468,0.800000011920929,0.3100000023841858,0.49000000953674316
2.1928303241729736,0.11769933253526688,0.800000011920929,0.36000001430511475,0.4399999976158142
2.3907904624938965,0.43970048427581787,0.800000011920929,0.4000000059604645,0.4000000059604645
2.598651170730591,0.8207999467849731,0.800000011920929,0.4300000071525574,0.3700000047683716
2.7968757152557373,-0.5695988535881042,0.800000011920929,0.47999998927116394,0.320000022649765
2.9986720085144043,-0.8614987730979919,0.800000011920929,0.5099999904632568,0.2900000214576721
3.1958730220794678,-0.5446010828018188,0.800000011920929,0.5699999928474426,0.23000001907348633
3.3957436084747314,-0.7789011597633362,0.800000011920929,0.6100000143051147,0.1899999976158142
3.5985493659973145,-1.0143976211547852,0.800000011920929,0.6499999761581421,0.15000003576278687
3.7910571098327637,-1.2511011362075806,0.800000011920929,0.6899999976158142,0.11000001430511475
3.9993574619293213,-0.8787018060684204,0.800000011920929,0.7200000286102295,0.07999998331069946
4.198256254196167,-1.057198405265808,0.800000011920929,0.75,0.050000011920928955
4.397636651992798,-0.6262987852096558,0.800000011920929,0.7699999809265137,0.030000030994415283
4.594581842422485,-0.7460022568702698,0.800000011920929,0.7900000214576721,0.009999990463256836
4.829682111740112,-0.8662989139556885,0.800000011920929,0.8100000023841858,-0.009999990463256836
5.003949165344238,-0.3768993616104126,0.800000011920929,0.8199999928474426,-0.019999980926513672
5.211988210678101,-0.4377993047237396,0.800000011920929,0.8299999833106995,-0.029999971389770508
5.415225267410278,-0.4989992380142212,0.800000011920929,0.8399999737739563,-0.039999961853027344
5.834368705749512,-0.560502827167511,0.800000011920929,0.8600000143051147,-0.06000000238418579
5.8343727588653564,-0.6222994923591614,0.800000011920929,0.8600000143051147,-0.06000000238418579
5.995453834533691,-0.07410000264644623,0.800000011920929,0.8600000143051147,-0.06000000238418579
6.195483684539795,-0.07590000331401825,0.800000011920929,0.8600000143051147,-0.06000000238418579
6.3922278881073,-0.687999427318573,0.800000011920929,0.8700000047683716,-0.06999999284744263
6.598902940750122,0.47019946575164795,0.800000011920929,0.8600000143051147,-0.06000000238418579
6.7994163036346436,-0.08160000294446945,0.800000011920929,0.8600000143051147,-0.06000000238418579
7.001250982284546,-0.08340000361204147,0.800000011920929,0.8600000143051147,-0.06000000238418579
7.2056262493133545,-0.0852000042796135,0.800000011920929,0.8600000143051147,-0.06000000238418579
7.395056247711182,-0.08700000494718552,0.800000011920929,0.8600000143051147,-0.06000000238418579
7.604476690292358,-0.08880000561475754,0.800000011920929,0.8600000143051147,-0.06000000238418579
7.795379877090454,0.5196993947029114,0.800000011920929,0.8500000238418579,-0.050000011920928955
7.999852657318115,-0.03180006146430969,0.800000011920929,0.8500000238418579,-0.050000011920928955
8.196794033050537,0.577003002166748,0.800000011920929,0.8500000238418579,-0.050000011920928955
8.41929292678833,0.02580024115741253,0.800000011920929,0.8399999737739563,-0.039999961853027344
8.595701217651367,0.6348996758460999,0.800000011920929,0.8299999833106995,-0.029999971389770508
8.792732000350952,0.08400018513202667,0.800000011920929,0.8299999833106995,-0.029999971389770508
9.000031232833862,0.08310018479824066,0.800000011920929,0.8199999928474426,-0.019999980926513672
9.20301365852356,1.3027989864349365,0.800000011920929,0.8100000023841858,-0.009999990463256836
9.40669298171997,0.20250007510185242,0.800000011920929,0.8100000023841858,-0.009999990463256836
9.613626718521118,0.812499463558197,0.800000011920929,0.800000011920929,0.0
10.02678656578064,0.8727994561195374,0.800000011920929,0.7900000214576721,0.009999990463256836
10.02679967880249,0.3230999708175659,0.800000011920929,0.7900000214576721,0.009999990463256836
10.198579549789429,0.9337030053138733,0.800000011920929,0.7799999713897705,0.020000040531158447
10.395756721496582,0.9945996999740601,0.800000011920929,0.7799999713897705,0.020000040531158447
10.591885089874268,0.4455001950263977,0.800000011920929,0.7699999809265137,0.030000030994415283
10.800851583480835,1.0566996335983276,0.800000011920929,0.7599999904632568,0.04000002145767212
10.997317552566528,0.5079001188278198,0.800000011920929,0.7599999904632568,0.04000002145767212
11.19322395324707,0.5091001391410828,0.800000011920929,0.7599999904632568,0.04000002145767212
11.393998622894287,0.5103001594543457,0.800000011920929,0.7599999904632568,0.04000002145767212
11.596212387084961,0.5115001797676086,0.800000011920929,0.7599999904632568,0.04000002145767212
11.80356240272522,0.5127001404762268,0.800000011920929,0.7599999904632568,0.04000002145767212
11.999589443206787,-0.09639926999807358,0.800000011920929,0.7699999809265137,0.030000030994415283
12.197400569915771,0.4545001983642578,0.800000011920929,0.7699999809265137,0.030000030994415283
12.403943538665771,0.4554001986980438,0.800000011920929,0.7699999809265137,0.030000030994415283
